district,predicted_risk,confidence_score,equity_vulnerability_index,final_risk_score,priority_level,alert_status,recommended_action
Pali,Low,98.91,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,Medium,58.65,0.3994287308851434,0.548,Medium Priority,NO ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bharatpur,High,54.18,0.8450403225806452,0.893,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Low,99.47,-0.05576850094876662,0.315,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,Low,99.47,-0.05892020373514431,0.314,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,Medium,58.56,0.3994287308851434,0.548,Medium Priority,NO ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bharatpur,Medium,51.61,0.8450403225806452,0.649,Medium Priority,NO ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bharatpur,Low,99.32,-0.05576850094876662,0.315,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,Low,99.32,-0.05892020373514431,0.314,Low Priority,NO ALERT,Routine monitoring.
Alwar,High,84.14,0.39907608695652175,0.826,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Alwar,High,87.55,0.39907608695652175,0.831,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Alwar,High,78.59,0.39907608695652175,0.818,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Alwar,High,82.51,0.39907608695652175,0.824,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Sikar,Medium,92.97,0.21628600042167406,0.554,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Sikar,Low,99.23,0.023827620092325974,0.335,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.23,-0.05808496732026146,0.314,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,79.56,1.5324690867337927,1.102,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Sikar,Medium,92.41,0.21628600042167406,0.553,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Sikar,Low,99.02,0.023827620092325974,0.334,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.02,-0.05808496732026146,0.314,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,77.22,1.5324690867337927,1.099,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Sikar,Medium,94.84,0.21628600042167406,0.556,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Sikar,Low,98.74,0.023827620092325974,0.334,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,98.74,-0.05808496732026146,0.314,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,75.59,1.5324690867337927,1.097,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Sikar,Medium,94.98,0.21628600042167406,0.557,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Sikar,Low,98.91,0.023827620092325974,0.334,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,98.91,-0.05808496732026146,0.314,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,74.54,1.5324690867337927,1.095,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Sikar,Medium,94.05,0.21628600042167406,0.555,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Sikar,Low,99.23,0.023827620092325974,0.335,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.23,-0.05808496732026146,0.314,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,75.49,1.5324690867337927,1.096,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Ajmer,High,75.11,1.8644993071101164,1.179,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Ajmer,Low,99.19,-0.000918482647296201,0.329,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.19,0.005671579464505042,0.33,Low Priority,NO ALERT,Routine monitoring.
Ajmer,High,79.57,1.8644993071101164,1.185,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Ajmer,Low,98.91,-0.000918482647296201,0.328,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,98.91,0.005671579464505042,0.33,Low Priority,NO ALERT,Routine monitoring.
Ajmer,High,75.11,1.8644993071101164,1.179,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Ajmer,Low,99.19,-0.000918482647296201,0.329,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.19,0.005671579464505042,0.33,Low Priority,NO ALERT,Routine monitoring.
Ajmer,High,72.93,1.8644993071101164,1.176,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Ajmer,Low,99.17,-0.000918482647296201,0.329,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.17,0.005671579464505042,0.33,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.4,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.0,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.0,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.36,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.23,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.18,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.29,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,98.98,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.23,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.18,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.29,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,98.98,0.04088734030197444,0.339,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.51,-0.08790013869625524,0.307,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.51,0.060642234185100716,0.344,Low Priority,NO ALERT,Routine monitoring.
Sikar,High,81.63,0.41532435109966315,0.826,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,High,79.63,0.929938288920056,0.952,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,High,79.91,0.929938288920056,0.952,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,Medium,90.02,0.1855015015015015,0.541,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Pali,High,82.87,0.5305555555555556,0.857,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,High,85.32,0.4287240948813983,0.835,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,Medium,92.08,0.1855015015015015,0.544,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Pali,High,82.35,0.5305555555555556,0.856,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,High,84.8,0.4287240948813983,0.834,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,84.99,0.35092643968053805,0.815,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,83.74,0.4598974358974359,0.841,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,84.34,0.35092643968053805,0.814,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,82.12,0.4598974358974359,0.838,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,84.67,0.35092643968053805,0.815,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,82.92,0.4598974358974359,0.839,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,88.05,0.35092643968053805,0.82,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,87.46,0.4598974358974359,0.846,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,88.04,0.35092643968053805,0.82,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,86.95,0.4598974358974359,0.845,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,88.18,0.35092643968053805,0.82,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jodhpur,High,87.09,0.4598974358974359,0.846,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Alwar,Low,99.46,0.05011406833509837,0.342,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.46,0.05011406833509837,0.342,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.47,0.05011406833509837,0.342,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.47,0.05011406833509837,0.342,Low Priority,NO ALERT,Routine monitoring.
Jaipur,Medium,95.24,0.22142857142857142,0.558,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Jaipur,Medium,95.85,0.22142857142857142,0.559,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bikaner,High,84.21,0.4182962962962963,0.831,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,High,83.39,0.4182962962962963,0.83,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,High,83.39,0.4182962962962963,0.83,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,69.78,0.3659971098265896,0.796,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Medium,92.41,0.17172313722384985,0.542,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bharatpur,High,67.44,0.3659971098265896,0.793,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Medium,91.77,0.17172313722384985,0.541,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Alwar,Low,98.95,-0.024918253079507277,0.322,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,95.13,0.20139225332594235,0.553,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Udaipur,Low,99.42,-0.019862210959771934,0.324,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Low,81.85,0.16542350332594236,0.344,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,98.8,-0.010825166364186324,0.325,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Medium,93.68,0.18845423089021707,0.548,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Ajmer,Medium,91.57,0.18845423089021707,0.544,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Ajmer,Medium,93.4,0.18845423089021707,0.547,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Ajmer,Medium,92.92,0.18845423089021707,0.546,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Kota,Low,98.97,0.07122896481387048,0.346,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,High,77.17,0.6656767676767678,0.882,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,78.17,0.6656767676767678,0.884,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,80.39,0.6656767676767678,0.887,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,80.26,0.6656767676767678,0.887,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,83.88,0.6656767676767678,0.892,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,81.72,0.6656767676767678,0.889,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,82.42,0.6656767676767678,0.89,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,82.33,0.6656767676767678,0.89,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,High,78.66,0.7445876259245441,0.904,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,Low,99.51,0.05621130148172343,0.343,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.15,-0.11382773109243702,0.3,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,79.08,0.31952941176470595,0.799,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,98.83,-0.11382773109243702,0.3,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,79.61,0.31952941176470595,0.799,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,98.78,-0.11382773109243702,0.3,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,79.23,0.31952941176470595,0.799,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,99.52,-0.11382773109243702,0.301,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Medium,56.5,0.31952941176470595,0.525,Medium Priority,NO ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bikaner,Low,99.13,-0.11382773109243702,0.3,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,64.75,0.31952941176470595,0.777,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,98.83,-0.11382773109243702,0.3,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,68.3,0.31952941176470595,0.782,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,99.91,-0.029726775956284146,0.322,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,98.73,-0.029726775956284146,0.321,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.71,-0.029726775956284146,0.322,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,98.74,-0.029726775956284146,0.321,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.28,0.06919843832409275,0.346,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.28,0.016396636522290967,0.333,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.18,0.06919843832409275,0.346,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.18,0.016396636522290967,0.333,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,98.97,0.06919843832409275,0.346,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,98.97,0.016396636522290967,0.333,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.19,0.06919843832409275,0.346,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.19,0.016396636522290967,0.333,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.82,0.06919843832409275,0.347,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.82,0.016396636522290967,0.334,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.59,0.06919843832409275,0.347,Low Priority,NO ALERT,Routine monitoring.
Kota,Low,99.59,0.016396636522290967,0.333,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.59,0.07174618377731218,0.347,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.59,-0.005108517077388676,0.328,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.53,0.07174618377731218,0.347,Low Priority,NO ALERT,Routine monitoring.
Alwar,Low,99.53,-0.005108517077388676,0.328,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.08,0.0011077694235589047,0.329,Low Priority,NO ALERT,Routine monitoring.
Pali,High,79.6,0.6619761904761905,0.885,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,Low,99.08,0.0903727422003284,0.351,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.08,0.0011077694235589047,0.329,Low Priority,NO ALERT,Routine monitoring.
Pali,High,80.42,0.6619761904761905,0.886,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Pali,Low,99.08,0.0903727422003284,0.351,Low Priority,NO ALERT,Routine monitoring.
Udaipur,High,85.91,0.3089188734762505,0.806,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Udaipur,Low,99.56,0.00595351774662119,0.331,Low Priority,NO ALERT,Routine monitoring.
Udaipur,High,86.83,0.3089188734762505,0.807,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Udaipur,Low,99.6,0.00595351774662119,0.331,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.14,0.006386206896551713,0.33,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.14,0.12039140170174652,0.359,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,98.97,0.012726368159203985,0.332,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.54,0.012726368159203985,0.332,Low Priority,NO ALERT,Routine monitoring.
Sikar,Low,99.54,0.012726368159203985,0.332,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Medium,92.67,0.23455767761650115,0.558,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bikaner,Low,99.76,-0.014515151515151509,0.326,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Low,99.2,0.0383125,0.338,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Low,98.85,0.0383125,0.338,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.68,0.04601798201798203,0.341,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.68,0.17080644355644356,0.372,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.62,0.04601798201798203,0.341,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.62,0.17080644355644356,0.372,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.64,0.04601798201798203,0.341,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.64,0.17080644355644356,0.372,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.29,0.04601798201798203,0.34,Low Priority,NO ALERT,Routine monitoring.
Ajmer,Low,99.29,0.17080644355644356,0.372,Low Priority,NO ALERT,Routine monitoring.
Kota,High,81.99,0.4534004847831942,0.836,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Kota,High,78.1,0.2722196337193644,0.785,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Kota,High,80.77,0.4534004847831942,0.835,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Kota,High,76.45,0.2722196337193644,0.783,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,83.62,0.45513377926421406,0.839,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,83.88,0.36663377926421403,0.817,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Low,98.87,0.040419493549928326,0.338,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,High,84.59,0.45513377926421406,0.841,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,85.64,0.36663377926421403,0.82,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Low,99.23,0.040419493549928326,0.339,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,High,87.57,0.45513377926421406,0.845,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,87.53,0.36663377926421403,0.823,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Low,99.22,0.040419493549928326,0.339,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,High,84.31,0.45513377926421406,0.84,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,84.89,0.36663377926421403,0.819,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Low,99.47,0.040419493549928326,0.339,Low Priority,NO ALERT,Routine monitoring.
Bharatpur,High,49.75,0.32064252696456086,0.755,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,Medium,50.25,0.32064252696456086,0.516,Medium Priority,NO ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Bharatpur,High,57.68,0.32064252696456086,0.767,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bharatpur,High,56.56,0.32064252696456086,0.765,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Udaipur,Low,98.76,-0.052571428571428575,0.315,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,91.78,0.24174107142857143,0.558,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Udaipur,Low,98.98,-0.052571428571428575,0.315,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,92.37,0.24174107142857143,0.559,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Udaipur,Low,99.25,-0.052571428571428575,0.316,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,92.71,0.24174107142857143,0.56,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Udaipur,Low,99.12,-0.052571428571428575,0.316,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,92.07,0.24174107142857143,0.559,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Udaipur,Low,98.8,-0.052571428571428575,0.315,Low Priority,NO ALERT,Routine monitoring.
Udaipur,Medium,92.76,0.24174107142857143,0.56,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
