visit_date,district,facility_type,total_visits,fever_cases,cough_cases,respiratory_cases,admission_count,icu_admissions,age_group,daily_growth_rate,7_day_moving_average,case_spike_flag
2023-04-19,Bikaner,Hospital,216,8,39,9,2,0,0-18,-0.9,12,0
2023-10-25,Alwar,Hospital,297,26,114,9,1,0,36-50,0.73,23,1
2023-01-24,Jaipur,Clinic,286,82,22,66,29,0,0-18,6.45,86,1
2023-10-13,Jaipur,Clinic,75,28,14,16,8,1,19-35,-0.66,24,0
2023-03-29,Kota,Hospital,34,16,7,7,1,0,51-65,-0.58,15,0
2023-05-05,Bharatpur,Clinic,197,22,56,28,3,0,65+,-0.42,26,0
2023-05-28,Bikaner,Clinic,180,15,32,9,2,0,19-35,0.88,18,1
2023-10-23,Sikar,Hospital,136,40,44,6,10,2,65+,2.33,37,1
2023-11-20,Udaipur,Clinic,110,33,35,8,7,1,51-65,-0.21,36,0
2023-06-23,Alwar,Hospital,289,76,111,77,16,0,51-65,1.92,71,1
2023-12-20,Ajmer,Clinic,286,16,72,53,5,0,51-65,-0.82,14,0
2023-04-10,Bikaner,Hospital,93,13,14,19,3,0,65+,-0.13,8,0
2023-04-13,Sikar,Clinic,233,49,67,38,7,1,19-35,0.23,45,0
2023-09-02,Jodhpur,Clinic,50,10,19,6,1,0,51-65,-0.8,14,0
2023-07-06,Udaipur,Hospital,215,35,4,2,10,1,65+,0.06,31,0
2023-03-31,Alwar,Hospital,98,25,33,13,5,0,36-50,-0.67,24,0
2023-06-07,Udaipur,Clinic,93,12,33,25,3,0,51-65,-0.66,8,0
2023-01-23,Sikar,Clinic,293,128,14,16,12,0,51-65,1.61,123,1
2023-08-31,Jaipur,Hospital,213,14,40,28,2,0,65+,-0.5,14,0
2023-02-15,Bharatpur,Clinic,261,128,92,13,5,0,19-35,4.82,131,1
2023-06-08,Alwar,Hospital,99,39,27,21,7,1,51-65,0.56,35,1
2023-07-16,Sikar,Clinic,274,73,56,24,9,0,0-18,-0.43,77,0
2023-12-07,Kota,Hospital,59,10,11,7,0,0,36-50,-0.38,12,0
2023-11-24,Jodhpur,Clinic,274,86,80,17,10,0,51-65,7.6,90,1
2023-10-11,Udaipur,Hospital,268,14,13,6,3,0,51-65,0.17,14,0
2023-12-04,Kota,Hospital,41,15,9,10,0,0,51-65,0.5,13,1
2023-04-24,Bikaner,Hospital,216,24,3,19,3,0,65+,0.85,23,1
2023-07-10,Sikar,Clinic,54,23,14,12,0,0,0-18,-0.68,20,0
2023-10-13,Jodhpur,Hospital,240,81,58,32,2,0,19-35,-0.06,85,0
2023-11-03,Ajmer,Clinic,298,108,51,6,17,0,0-18,5.75,105,1
2023-05-14,Ajmer,Hospital,50,19,12,10,1,0,0-18,-0.82,14,0
2023-11-07,Bharatpur,Clinic,61,22,16,8,2,0,36-50,-0.83,22,0
2023-10-28,Alwar,Clinic,60,8,5,11,0,0,51-65,-0.79,5,0
2023-05-24,Alwar,Clinic,275,32,20,61,1,0,65+,3.0,33,1
2023-05-29,Kota,Clinic,270,48,98,40,18,0,19-35,2.2,46,1
2023-01-10,Jodhpur,Clinic,208,34,57,41,2,0,19-35,-0.58,35,0
2023-02-23,Pali,Hospital,34,13,9,3,1,0,36-50,-0.43,9,0
2023-05-09,Ajmer,Clinic,209,17,58,27,2,0,19-35,-0.11,15,0
2023-02-09,Alwar,Clinic,41,19,7,7,0,0,0-18,-0.41,17,0
2023-12-03,Alwar,Hospital,195,65,19,41,7,1,51-65,2.42,66,1
2023-02-09,Bharatpur,Clinic,187,23,20,35,4,0,65+,0.05,26,0
2023-07-25,Bikaner,Clinic,142,47,34,25,11,2,19-35,0.96,44,1
2023-09-04,Bikaner,Clinic,173,58,4,28,6,0,36-50,0.23,57,0
2023-02-07,Jodhpur,Clinic,259,120,34,34,27,0,0-18,2.53,119,1
2023-01-19,Sikar,Clinic,248,12,25,49,3,0,19-35,-0.48,14,0
2023-11-03,Pali,Hospital,177,17,41,23,0,0,0-18,0.31,15,1
2023-03-13,Sikar,Clinic,155,68,8,29,8,0,51-65,4.67,63,1
2023-01-11,Pali,Hospital,43,17,9,3,4,0,19-35,0.0,18,0
2023-12-29,Kota,Clinic,209,62,3,4,6,0,19-35,0.29,61,1
2023-11-06,Alwar,Hospital,284,91,53,64,13,0,0-18,0.4,91,1
2023-05-21,Pali,Clinic,103,7,31,4,1,0,36-50,-0.59,3,0
2023-10-23,Kota,Clinic,86,11,16,16,3,0,19-35,-0.82,14,0
2023-12-31,Jodhpur,Clinic,172,74,34,20,9,1,65+,-0.38,70,0
2023-02-20,Jodhpur,Clinic,138,10,31,36,0,0,65+,-0.86,14,0
2023-08-25,Kota,Hospital,285,37,97,33,11,1,36-50,2.36,33,1
2023-09-18,Ajmer,Clinic,62,18,15,13,1,0,36-50,0.06,17,0
2023-01-22,Ajmer,Hospital,269,118,27,66,26,3,19-35,5.56,116,1
2023-11-12,Sikar,Clinic,83,9,14,23,1,0,65+,-0.87,9,0
2023-12-22,Bharatpur,Hospital,78,36,4,6,5,0,19-35,0.57,35,1
2023-11-16,Kota,Hospital,58,25,19,2,5,0,51-65,-0.32,24,0
2023-08-22,Bharatpur,Hospital,190,69,6,35,17,3,19-35,0.92,72,1
2023-01-08,Ajmer,Hospital,155,67,43,39,12,1,19-35,-0.43,65,0
2023-06-20,Alwar,Hospital,286,128,40,80,13,2,51-65,0.41,131,1
2023-04-06,Jodhpur,Clinic,189,87,38,3,3,0,65+,7.7,87,1
2023-01-02,Bikaner,Clinic,67,8,6,8,1,0,19-35,-0.86,11,0
2023-06-19,Jaipur,Clinic,266,87,80,18,7,1,19-35,5.21,87,1
2023-01-23,Alwar,Clinic,183,65,66,28,17,2,0-18,-0.49,60,0
2023-01-01,Kota,Hospital,253,102,45,54,33,0,36-50,3.08,97,1
2023-02-17,Pali,Hospital,277,68,75,80,12,2,19-35,8.71,67,1
2023-09-02,Sikar,Hospital,69,17,22,7,2,0,0-18,0.89,14,1
2023-03-29,Sikar,Clinic,289,11,41,29,0,0,19-35,-0.35,8,0
2023-03-13,Ajmer,Clinic,242,24,79,45,5,0,36-50,-0.64,20,0
2023-07-16,Pali,Hospital,248,107,46,8,7,1,36-50,0.57,106,1
2023-02-25,Udaipur,Clinic,193,16,8,9,1,0,65+,0.14,14,0
2023-03-19,Udaipur,Hospital,133,12,22,2,0,0,0-18,-0.25,16,0
2023-07-08,Udaipur,Clinic,111,31,34,13,8,1,65+,1.58,27,1
2023-07-25,Sikar,Hospital,169,8,47,4,0,0,19-35,-0.27,11,0
2023-03-10,Jaipur,Hospital,154,35,19,33,2,0,51-65,-0.6,39,0
2023-03-31,Bharatpur,Hospital,249,121,69,42,31,7,51-65,0.75,119,1
2023-06-17,Bikaner,Hospital,56,17,21,2,0,0,0-18,1.12,13,1
2023-03-22,Alwar,Hospital,187,29,51,32,7,1,65+,-0.55,28,0
2023-01-29,Bharatpur,Hospital,37,6,11,6,1,0,51-65,-0.95,6,0
2023-10-31,Ajmer,Clinic,298,52,67,51,17,3,51-65,1.17,49,1
2023-07-16,Jaipur,Hospital,77,33,21,20,0,0,65+,-0.06,32,0
2023-07-21,Jodhpur,Hospital,134,5,28,18,0,0,19-35,-0.94,3,0
2023-12-21,Bharatpur,Hospital,94,16,31,20,2,0,0-18,1.67,14,1
2023-08-28,Ajmer,Clinic,288,13,29,45,3,0,65+,-0.75,11,0
2023-06-13,Sikar,Hospital,106,13,22,29,1,0,19-35,0.62,13,1
2023-09-19,Ajmer,Hospital,165,41,45,25,5,0,0-18,2.15,40,1
2023-09-08,Jodhpur,Clinic,248,22,95,61,5,0,65+,3.4,17,1
2023-12-19,Jaipur,Clinic,202,32,9,18,10,0,36-50,-0.03,34,0
2023-07-27,Jaipur,Hospital,210,20,21,53,7,0,65+,-0.38,15,0
2023-12-08,Jaipur,Hospital,235,61,92,22,14,1,19-35,2.05,56,1
2023-10-31,Kota,Clinic,222,23,12,22,8,0,0-18,-0.77,27,0
2023-08-03,Pali,Clinic,229,67,20,31,6,0,51-65,-0.37,62,0
2023-07-01,Jodhpur,Clinic,287,99,94,65,26,2,51-65,3.5,95,1
2023-05-16,Jodhpur,Hospital,154,71,44,38,15,1,36-50,-0.28,69,0
2023-05-25,Ajmer,Hospital,225,7,69,54,0,0,51-65,-0.83,5,0
2023-09-03,Alwar,Hospital,31,12,8,7,2,0,19-35,-0.59,11,0
2023-04-01,Pali,Hospital,218,78,66,28,1,0,0-18,0.16,82,0
2023-05-15,Pali,Hospital,229,43,6,21,4,0,51-65,-0.45,39,0
2023-06-30,Kota,Clinic,166,8,54,48,2,0,51-65,-0.65,11,0
2023-10-26,Bharatpur,Hospital,239,45,5,29,1,0,36-50,1.81,45,1
2023-09-07,Sikar,Hospital,156,30,5,18,4,0,0-18,1.31,27,1
2023-07-05,Bikaner,Hospital,168,43,9,16,10,1,36-50,1.53,44,1
2023-12-02,Ajmer,Clinic,248,68,5,19,10,0,36-50,8.71,67,1
2023-09-20,Kota,Hospital,213,105,12,5,2,0,0-18,12.12,109,1
2023-07-13,Kota,Hospital,189,48,14,37,18,0,19-35,-0.54,51,0
2023-12-10,Alwar,Clinic,183,41,59,45,5,0,36-50,2.42,40,1
2023-08-03,Sikar,Clinic,35,13,7,7,2,0,36-50,-0.57,10,0
2023-11-18,Bikaner,Clinic,184,28,53,38,2,0,65+,-0.35,31,0
2023-02-28,Ajmer,Clinic,222,102,15,45,11,0,65+,0.5,102,1
2023-08-30,Jaipur,Clinic,192,72,32,54,24,4,36-50,0.18,73,0
2023-03-12,Jodhpur,Clinic,194,46,48,43,3,0,51-65,-0.35,46,0
2023-10-26,Ajmer,Hospital,276,96,12,24,4,0,36-50,-0.06,100,0
2023-08-18,Udaipur,Hospital,48,14,11,8,4,0,51-65,-0.55,17,0
2023-09-22,Udaipur,Hospital,234,28,45,59,9,0,51-65,1.0,31,1
2023-04-21,Bikaner,Clinic,286,25,65,10,5,0,0-18,-0.11,26,0
2023-09-17,Pali,Clinic,238,79,52,35,19,0,0-18,0.84,79,1
2023-06-07,Alwar,Clinic,110,44,42,10,5,0,19-35,0.07,44,0
2023-04-21,Sikar,Clinic,136,67,48,14,0,0,65+,4.15,62,1
2023-09-22,Pali,Hospital,183,75,28,22,17,2,19-35,-0.05,71,0
2023-12-16,Alwar,Clinic,133,32,51,28,7,0,65+,-0.27,32,0
2023-02-11,Pali,Hospital,94,27,28,10,3,0,19-35,-0.64,27,0
2023-11-09,Jodhpur,Hospital,131,42,34,25,6,0,19-35,-0.09,46,0
2023-03-31,Udaipur,Hospital,197,20,32,50,7,0,36-50,-0.29,16,0
2023-06-29,Jaipur,Hospital,292,8,34,61,2,0,0-18,-0.89,3,0
2023-05-22,Alwar,Hospital,78,29,16,16,9,0,51-65,-0.09,30,0
2023-11-25,Udaipur,Clinic,142,67,14,20,8,0,36-50,2.35,67,1
2023-02-21,Jaipur,Hospital,139,43,12,24,15,2,36-50,4.38,38,1
2023-02-24,Ajmer,Clinic,73,6,11,5,1,0,19-35,-0.94,8,0
2023-10-31,Ajmer,Hospital,109,16,15,18,3,0,65+,1.67,17,1
2023-01-05,Udaipur,Hospital,149,5,58,13,1,0,19-35,-0.93,7,0
2023-03-28,Sikar,Clinic,85,5,27,12,1,0,0-18,-0.93,3,0
2023-03-12,Jaipur,Hospital,168,25,37,6,2,0,19-35,-0.42,21,0
2023-08-08,Alwar,Hospital,236,105,33,61,1,0,19-35,2.62,104,1
2023-01-28,Jodhpur,Hospital,157,23,26,3,3,0,36-50,-0.45,25,0
2023-03-27,Pali,Clinic,196,8,72,28,2,0,19-35,-0.7,7,0
2023-09-12,Sikar,Hospital,259,68,69,17,6,0,36-50,12.6,66,1
2023-01-30,Udaipur,Clinic,40,5,13,9,0,0,19-35,0.0,6,0
2023-10-06,Alwar,Hospital,71,12,4,14,2,0,51-65,-0.89,14,0
2023-10-13,Bharatpur,Clinic,298,36,94,24,6,0,65+,-0.2,40,0
2023-07-11,Bharatpur,Hospital,158,56,31,35,14,2,36-50,0.56,56,1
2023-11-27,Sikar,Hospital,157,48,12,17,12,2,19-35,-0.29,43,0
2023-10-03,Alwar,Hospital,186,34,54,15,9,1,36-50,1.83,34,1
2023-12-19,Pali,Clinic,172,19,38,2,6,0,0-18,1.38,20,1
2023-03-14,Pali,Hospital,60,27,8,9,2,0,51-65,0.42,26,1
2023-12-03,Ajmer,Clinic,163,36,48,10,11,2,19-35,1.25,39,1
2023-04-29,Bikaner,Hospital,146,29,37,4,1,0,51-65,0.16,28,0
2023-05-30,Udaipur,Hospital,107,19,14,24,0,0,19-35,2.8,17,1
2023-03-14,Ajmer,Clinic,201,29,73,37,0,0,65+,-0.19,30,0
2023-03-19,Bharatpur,Hospital,53,6,8,3,1,0,51-65,-0.89,4,0
2023-04-02,Sikar,Hospital,30,10,7,5,0,0,65+,-0.79,10,0
2023-09-07,Sikar,Clinic,283,84,79,53,23,3,0-18,7.4,85,1
2023-12-23,Bikaner,Clinic,33,12,3,7,1,0,19-35,-0.59,12,0
2023-04-02,Jaipur,Hospital,252,27,38,67,6,0,0-18,0.08,30,0
2023-03-25,Udaipur,Clinic,185,55,3,28,20,0,19-35,1.89,50,1
2023-09-26,Alwar,Hospital,100,38,24,4,1,0,65+,0.12,36,0
2023-03-15,Bharatpur,Hospital,115,27,8,21,2,0,65+,3.5,22,1
2023-08-01,Jodhpur,Hospital,42,13,6,4,4,0,0-18,-0.43,10,0
2023-10-27,Sikar,Clinic,205,97,9,27,16,3,0-18,0.15,97,0
2023-12-05,Udaipur,Clinic,101,17,10,11,4,0,65+,-0.69,14,0
2023-11-26,Pali,Clinic,289,92,29,10,19,0,65+,2.41,94,1
2023-06-01,Udaipur,Clinic,152,38,27,19,5,0,65+,1.24,39,1
2023-05-17,Udaipur,Clinic,261,83,65,56,17,4,19-35,1.18,78,1
2023-02-07,Bharatpur,Hospital,111,18,13,4,1,0,65+,-0.33,16,0
2023-09-25,Bikaner,Clinic,72,29,15,16,5,0,36-50,1.42,31,1
2023-10-10,Udaipur,Hospital,246,88,33,68,33,5,65+,0.06,86,0
2023-09-21,Ajmer,Hospital,177,80,43,40,24,5,0-18,1.76,77,1
2023-03-07,Jaipur,Hospital,221,60,43,24,7,0,51-65,1.22,56,1
2023-05-30,Ajmer,Clinic,156,64,22,36,3,0,36-50,-0.2,67,0
2023-08-02,Bharatpur,Clinic,246,76,70,26,9,1,36-50,3.22,75,1
2023-05-13,Jaipur,Clinic,84,39,23,19,14,1,36-50,-0.35,39,0
2023-12-02,Kota,Clinic,110,41,29,9,14,0,51-65,-0.15,37,0
2023-05-16,Pali,Clinic,294,77,17,78,14,3,0-18,-0.16,74,0
2023-07-13,Jaipur,Clinic,264,83,64,20,30,0,19-35,1.13,78,1
2023-12-31,Bharatpur,Clinic,66,17,14,14,5,0,51-65,-0.78,13,0
2023-11-15,Udaipur,Hospital,257,111,37,20,15,0,51-65,0.26,111,1
2023-03-03,Kota,Clinic,172,82,5,23,10,2,19-35,1.0,77,1
2023-12-27,Alwar,Hospital,70,27,26,17,6,0,51-65,-0.29,22,0
2023-12-07,Jodhpur,Hospital,173,48,39,34,13,0,0-18,2.69,48,1
2023-04-04,Bharatpur,Hospital,279,34,53,68,2,0,65+,1.0,37,1
2023-06-04,Kota,Hospital,170,45,53,21,12,2,51-65,-0.45,41,0
2023-02-20,Ajmer,Clinic,95,9,7,4,0,0,51-65,-0.86,8,0
2023-10-21,Udaipur,Hospital,151,21,37,13,0,0,0-18,-0.81,22,0
2023-04-06,Alwar,Hospital,271,126,64,44,38,4,65+,3.67,127,1
2023-02-23,Kota,Hospital,172,5,16,2,0,0,19-35,-0.89,5,0
2023-02-12,Alwar,Clinic,47,21,9,12,6,0,19-35,-0.83,24,0
2023-08-01,Bharatpur,Clinic,218,84,37,53,10,2,65+,1.47,87,1
2023-08-19,Pali,Hospital,162,70,16,2,9,0,0-18,-0.09,69,0
2023-03-12,Jodhpur,Hospital,51,12,10,10,3,0,65+,-0.75,10,0
2023-07-13,Ajmer,Clinic,188,21,36,8,3,0,19-35,1.33,20,1
2023-10-13,Bharatpur,Clinic,176,65,6,3,17,3,19-35,-0.23,65,0
2023-10-04,Udaipur,Hospital,207,102,50,2,16,1,65+,3.86,97,1
2023-08-21,Pali,Hospital,92,38,6,10,11,2,0-18,-0.46,42,0
2023-07-03,Sikar,Hospital,157,38,29,38,0,0,0-18,-0.61,34,0
2023-04-18,Alwar,Clinic,279,104,30,79,32,7,51-65,3.95,105,1
2023-05-09,Pali,Hospital,94,20,11,16,4,0,36-50,-0.47,24,0
2023-07-31,Bharatpur,Hospital,146,50,32,11,3,0,0-18,-0.23,47,0
2023-08-13,Alwar,Clinic,192,77,4,2,24,1,0-18,-0.26,79,0
2023-04-10,Udaipur,Clinic,259,98,8,39,25,1,0-18,-0.04,93,0
2023-02-11,Udaipur,Hospital,35,6,7,4,0,0,65+,-0.94,8,0
2023-09-02,Jodhpur,Hospital,153,23,48,26,2,0,51-65,0.92,20,1
2023-12-15,Jaipur,Hospital,158,43,44,30,11,2,0-18,-0.48,38,0
2023-05-30,Jodhpur,Clinic,53,5,9,9,0,0,0-18,-0.78,7,0
2023-12-13,Jaipur,Clinic,211,85,42,32,32,4,36-50,0.98,87,1
2023-04-02,Udaipur,Clinic,136,58,30,20,9,1,19-35,8.67,55,1
2023-06-17,Bharatpur,Clinic,191,83,15,56,9,1,51-65,0.66,78,1
2023-05-19,Bharatpur,Hospital,186,36,64,47,2,0,65+,-0.57,32,0
2023-11-19,Kota,Hospital,157,73,45,9,4,0,19-35,13.6,70,1
2023-08-15,Bharatpur,Hospital,299,47,103,37,13,0,0-18,0.31,45,1
2023-03-13,Jaipur,Hospital,275,121,52,62,45,1,0-18,0.42,125,1
2023-07-29,Bikaner,Hospital,244,12,50,2,3,0,19-35,-0.59,12,0
2023-04-14,Alwar,Clinic,245,110,43,5,24,2,0-18,0.43,110,1
2023-12-29,Bikaner,Clinic,297,36,32,13,0,0,0-18,2.0,39,1
2023-07-09,Jaipur,Hospital,177,66,26,46,14,2,0-18,-0.45,70,0
2023-10-15,Ajmer,Hospital,140,28,27,2,10,0,51-65,0.33,32,1
2023-09-26,Jodhpur,Clinic,114,30,22,31,6,0,19-35,5.0,33,1
2023-12-12,Alwar,Clinic,278,31,50,33,8,0,36-50,-0.72,27,0
2023-07-26,Ajmer,Hospital,114,7,44,22,0,0,36-50,-0.75,5,0
2023-11-26,Bharatpur,Hospital,85,12,29,8,0,0,36-50,-0.74,11,0
2023-07-19,Ajmer,Hospital,151,36,21,29,12,1,0-18,4.14,35,1
2023-01-01,Pali,Hospital,164,41,6,16,1,0,36-50,1.05,45,1
2023-01-12,Jaipur,Clinic,82,19,24,21,3,0,65+,-0.71,20,0
2023-12-31,Ajmer,Clinic,222,27,79,18,1,0,65+,-0.25,31,0
2023-08-25,Kota,Hospital,201,50,41,29,7,0,51-65,-0.32,45,0
2023-10-06,Jaipur,Hospital,43,10,12,5,0,0,0-18,-0.47,13,0
2023-04-25,Udaipur,Clinic,193,72,55,19,26,4,0-18,0.24,67,0
2023-02-10,Bharatpur,Hospital,117,12,8,29,0,0,19-35,0.0,16,0
2023-11-18,Kota,Clinic,77,26,19,7,5,0,19-35,-0.48,24,0
2023-05-06,Udaipur,Hospital,296,127,66,30,47,2,0-18,0.76,128,1
2023-07-06,Bharatpur,Hospital,168,82,26,8,29,6,36-50,5.83,79,1
2023-03-03,Pali,Hospital,124,60,10,22,12,0,36-50,0.46,60,1
2023-11-11,Jaipur,Hospital,147,17,38,36,1,0,51-65,0.7,13,1
2023-06-20,Pali,Clinic,122,17,11,4,2,0,19-35,-0.72,12,0
2023-11-06,Bharatpur,Hospital,142,39,17,26,10,1,36-50,-0.52,38,0
2023-02-04,Bikaner,Clinic,44,21,14,7,6,0,0-18,-0.42,16,0
2023-02-19,Jaipur,Clinic,226,82,3,2,3,0,51-65,3.82,86,1
2023-01-22,Ajmer,Clinic,207,14,6,14,0,0,19-35,-0.48,9,0
2023-10-14,Ajmer,Clinic,31,10,5,3,0,0,0-18,-0.29,11,0
2023-09-25,Jaipur,Hospital,73,31,10,11,0,0,36-50,-0.62,28,0
2023-05-03,Bharatpur,Clinic,76,24,6,21,6,0,36-50,-0.38,19,0
2023-10-24,Sikar,Hospital,274,29,94,66,3,0,51-65,-0.24,32,0
2023-11-04,Bharatpur,Hospital,217,59,71,12,5,0,0-18,1.46,59,1
2023-10-31,Kota,Clinic,101,42,23,14,1,0,36-50,0.62,38,1
2023-06-17,Bikaner,Clinic,129,41,38,30,11,1,65+,0.95,37,1
2023-01-12,Alwar,Clinic,207,51,51,58,7,0,51-65,0.65,54,1
2023-03-09,Alwar,Clinic,105,19,14,25,4,0,36-50,-0.63,21,0
2023-03-15,Bharatpur,Clinic,82,33,20,13,4,0,19-35,-0.44,28,0
2023-10-09,Bharatpur,Clinic,279,65,45,68,15,0,65+,0.97,66,1
2023-10-06,Udaipur,Hospital,32,6,10,3,0,0,36-50,-0.95,10,0
2023-03-26,Bharatpur,Hospital,127,57,29,7,14,0,36-50,-0.12,55,0
2023-05-12,Pali,Hospital,134,23,28,32,4,0,65+,0.35,26,1
2023-07-15,Alwar,Hospital,123,58,17,2,9,1,0-18,2.05,59,1
2023-07-09,Sikar,Clinic,172,83,67,26,21,5,65+,1.86,83,1
2023-03-07,Ajmer,Clinic,224,80,24,17,0,0,0-18,7.0,76,1
2023-09-11,Bikaner,Hospital,179,35,60,38,8,1,51-65,-0.15,37,0
2023-10-20,Sikar,Clinic,145,5,52,7,1,0,65+,-0.94,6,0
2023-07-12,Alwar,Clinic,287,47,100,82,16,2,36-50,-0.19,42,0
2023-07-21,Pali,Clinic,218,93,50,43,32,0,51-65,3.04,91,1
2023-05-17,Pali,Hospital,199,91,10,25,20,2,51-65,-0.02,94,0
2023-11-30,Ajmer,Hospital,285,54,86,61,5,0,0-18,-0.33,58,0
2023-04-12,Sikar,Hospital,76,35,24,4,12,0,51-65,6.0,36,1
2023-01-16,Pali,Hospital,181,44,41,20,7,0,51-65,-0.52,43,0
2023-07-28,Bharatpur,Clinic,295,17,85,57,5,0,19-35,-0.7,15,0
2023-10-01,Ajmer,Hospital,31,13,11,4,1,0,19-35,-0.76,17,0
2023-04-21,Kota,Clinic,216,24,81,14,3,0,65+,-0.43,27,0
2023-10-14,Jaipur,Clinic,56,21,8,10,5,0,0-18,-0.32,24,0
2023-12-14,Udaipur,Clinic,139,60,25,29,10,0,65+,9.0,63,1
2023-10-10,Bharatpur,Hospital,257,74,31,30,14,2,36-50,3.35,76,1
2023-09-24,Pali,Clinic,91,40,9,4,7,1,51-65,-0.09,37,0
2023-04-13,Jaipur,Clinic,121,41,42,12,8,0,0-18,0.95,44,1
2023-04-01,Jaipur,Hospital,39,10,7,8,0,0,0-18,-0.76,9,0
2023-03-12,Ajmer,Clinic,218,51,33,41,7,1,51-65,2.92,49,1
2023-07-09,Alwar,Hospital,235,15,36,65,3,0,65+,-0.68,13,0
2023-12-05,Bikaner,Clinic,184,57,6,33,14,3,36-50,0.63,59,1
2023-10-23,Jaipur,Hospital,266,42,27,9,7,1,65+,3.2,38,1
2023-02-01,Jodhpur,Hospital,105,49,9,17,9,1,0-18,0.63,45,1
2023-05-06,Sikar,Clinic,59,23,4,13,2,0,51-65,-0.34,23,0
2023-11-01,Bharatpur,Clinic,82,26,3,23,8,1,65+,-0.65,30,0
2023-02-02,Jaipur,Clinic,179,46,43,12,14,0,65+,0.1,47,0
2023-07-10,Ajmer,Clinic,166,48,11,39,0,0,51-65,-0.06,47,0
2023-02-01,Sikar,Hospital,124,35,17,18,11,2,65+,0.52,33,1
2023-03-09,Jaipur,Hospital,295,71,5,64,27,6,51-65,0.54,66,1
2023-05-17,Bharatpur,Hospital,126,40,39,15,1,0,19-35,0.54,43,1
2023-08-28,Ajmer,Hospital,122,41,19,28,0,0,36-50,-0.15,44,0
2023-08-01,Sikar,Hospital,216,16,7,34,3,0,19-35,-0.54,11,0
2023-02-27,Ajmer,Hospital,51,17,12,6,5,0,51-65,-0.59,16,0
2023-04-11,Sikar,Hospital,201,96,64,52,11,2,51-65,5.0,94,1
2023-12-18,Kota,Clinic,294,145,102,22,31,5,36-50,5.04,140,1
2023-12-26,Sikar,Hospital,200,79,44,58,28,4,36-50,-0.18,82,0
2023-02-02,Pali,Clinic,82,13,11,12,3,0,0-18,-0.68,9,0
2023-08-21,Kota,Clinic,200,11,37,4,3,0,65+,-0.92,13,0
2023-07-21,Sikar,Hospital,131,47,18,30,9,0,36-50,-0.41,50,0
2023-08-29,Bharatpur,Clinic,94,23,31,27,7,0,0-18,-0.42,23,0
2023-07-16,Kota,Hospital,36,13,10,6,0,0,51-65,0.18,15,0
2023-04-21,Bharatpur,Clinic,122,19,44,10,4,0,51-65,-0.17,21,0
2023-02-12,Jaipur,Hospital,201,80,17,10,30,8,36-50,0.13,84,0
2023-11-12,Jaipur,Clinic,141,17,37,6,1,0,0-18,-0.79,17,0
2023-03-28,Bharatpur,Clinic,283,108,8,44,12,1,65+,4.68,108,1
2023-06-13,Bharatpur,Hospital,47,7,11,11,0,0,65+,-0.94,7,0
2023-01-31,Bharatpur,Clinic,150,13,52,27,1,0,36-50,0.86,14,1
2023-01-12,Sikar,Hospital,141,51,33,27,7,1,36-50,0.09,51,0
2023-10-28,Jaipur,Hospital,200,29,44,8,2,0,65+,0.71,29,1
2023-08-18,Ajmer,Clinic,283,69,52,33,18,4,19-35,3.06,64,1
2023-03-08,Jaipur,Clinic,106,50,17,12,5,0,51-65,0.72,46,1
2023-10-26,Bikaner,Hospital,50,20,4,11,5,0,36-50,-0.65,16,0
2023-05-20,Bharatpur,Hospital,192,65,47,9,3,0,36-50,4.0,61,1
