date,district,avg_temperature,rainfall,humidity,temperature_deviation,rainfall_deviation,weather_risk_index
2023-09-23,Jodhpur,31.14,93.2,59.04,1.14,53.2,0.5
2023-04-09,Bikaner,31.44,8.99,36.38,-6.06,3.99,0.25
2023-09-30,Alwar,33.67,19.15,51.99,3.67,-20.85,0.31
2023-07-13,Bharatpur,28.68,109.33,42.64,-1.32,69.33,0.48
2023-05-24,Ajmer,34.37,8.66,57.57,-3.13,3.66,0.3
2023-08-06,Sikar,27.74,6.78,60.19,-2.26,-33.22,0.29
2023-11-28,Bikaner,34.13,105.32,35.27,4.13,65.32,0.48
2023-06-19,Jaipur,42.51,3.55,51.69,5.01,-1.45,0.28
2023-08-05,Udaipur,31.39,84.0,86.11,1.39,44.0,0.59
2023-07-02,Pali,25.87,87.66,66.12,-4.13,47.66,0.55
2023-10-23,Bharatpur,26.94,50.66,67.7,-3.06,10.66,0.45
2023-10-28,Sikar,25.52,37.04,69.33,-4.48,-2.96,0.44
2023-09-10,Sikar,30.82,75.7,87.08,0.82,35.7,0.56
2023-10-16,Pali,27.89,6.8,73.24,-2.11,-33.2,0.34
2023-05-09,Sikar,32.87,3.41,65.53,-4.63,-1.59,0.33
2023-04-14,Bharatpur,41.4,2.7,79.79,3.9,-2.3,0.38
2023-03-09,Kota,40.05,1.13,62.17,2.55,-3.87,0.29
2023-06-23,Udaipur,34.33,2.4,71.61,-3.17,-2.6,0.34
2023-07-21,Alwar,30.84,6.18,45.96,0.84,-33.82,0.21
2023-07-15,Jaipur,28.69,37.08,78.83,-1.31,-2.92,0.43
2023-10-06,Bikaner,31.6,81.04,63.1,1.6,41.04,0.49
2023-02-02,Jaipur,16.16,0.02,70.29,-3.84,-4.98,0.33
2023-09-27,Udaipur,33.37,40.44,56.81,3.37,0.44,0.38
2023-09-28,Jaipur,26.88,27.0,37.97,-3.12,-13.0,0.27
2023-05-04,Kota,33.55,7.65,50.03,-3.95,2.65,0.27
2023-02-12,Jaipur,21.08,6.14,87.99,1.08,1.14,0.38
2023-04-15,Jaipur,42.84,3.71,46.95,5.34,-1.29,0.27
2023-05-25,Pali,42.15,5.41,70.44,4.65,0.41,0.36
2023-10-06,Ajmer,34.02,25.34,51.46,4.02,-14.66,0.33
2023-09-03,Kota,30.98,60.9,74.35,0.98,20.9,0.47
2023-11-15,Jodhpur,33.74,107.03,85.51,3.74,67.03,0.68
2023-11-05,Udaipur,27.28,63.33,72.53,-2.72,23.33,0.5
2023-07-08,Udaipur,29.42,100.68,35.79,-0.58,60.68,0.42
2023-09-18,Pali,29.33,101.6,66.5,-0.67,61.6,0.55
2023-01-11,Jodhpur,15.71,7.08,77.81,-4.29,2.08,0.39
2023-04-01,Ajmer,31.35,12.24,75.9,-6.15,7.24,0.42
2023-05-25,Alwar,34.0,10.97,68.44,-3.5,5.97,0.35
2023-07-04,Udaipur,30.36,66.55,73.25,0.36,26.55,0.48
2023-10-26,Udaipur,26.88,56.22,42.39,-3.12,16.22,0.36
2023-06-27,Bikaner,42.34,1.17,78.11,4.84,-3.83,0.38
2023-07-06,Bikaner,29.29,104.72,57.78,-0.71,64.72,0.52
2023-03-19,Bharatpur,31.81,11.02,85.15,-5.69,6.02,0.45
2023-03-03,Pali,33.74,5.91,39.3,-3.76,0.91,0.22
2023-08-20,Sikar,27.5,52.31,83.23,-2.5,12.31,0.51
2023-01-02,Jaipur,18.95,11.84,38.24,-1.05,6.84,0.2
2023-02-04,Kota,19.07,5.22,36.32,-0.93,0.22,0.17
2023-02-01,Pali,20.06,8.29,88.44,0.06,3.29,0.38
2023-01-30,Jodhpur,22.97,8.18,45.73,2.97,3.18,0.24
2023-01-22,Kota,20.96,9.14,63.83,0.96,4.14,0.29
2023-12-16,Jaipur,21.25,12.55,54.51,1.25,7.55,0.27
2023-07-13,Ajmer,32.4,53.73,83.48,2.4,13.73,0.51
2023-05-13,Kota,40.43,10.17,68.95,2.93,5.17,0.34
2023-07-06,Jaipur,31.5,98.05,71.01,1.5,58.05,0.57
2023-12-04,Sikar,22.41,11.28,79.45,2.41,6.28,0.38
2023-06-13,Ajmer,37.01,14.06,52.58,-0.49,9.06,0.25
2023-02-18,Bikaner,24.01,7.8,72.27,4.01,2.8,0.36
2023-01-23,Jodhpur,16.4,0.84,59.48,-3.6,-4.16,0.29
2023-09-23,Udaipur,34.06,24.82,73.2,4.06,-15.18,0.41
2023-03-08,Sikar,42.82,7.82,67.16,5.32,2.82,0.36
2023-07-13,Ajmer,28.01,43.46,48.01,-1.99,3.46,0.33
2023-12-30,Sikar,24.24,7.02,44.06,4.24,2.02,0.25
2023-02-15,Ajmer,18.17,14.39,67.79,-1.83,9.39,0.33
2023-06-14,Udaipur,41.8,8.72,46.36,4.3,3.72,0.27
2023-07-09,Jodhpur,28.89,32.91,79.2,-1.11,-7.09,0.42
2023-02-11,Ajmer,22.83,5.01,77.62,2.83,0.01,0.36
2023-07-10,Pali,26.83,17.8,52.98,-3.17,-22.2,0.3
2023-09-25,Ajmer,34.7,98.28,84.33,4.7,58.28,0.66
2023-04-04,Bharatpur,39.24,3.92,49.11,1.74,-1.08,0.23
2023-03-07,Bharatpur,35.28,4.07,53.32,-2.22,-0.93,0.25
2023-03-06,Udaipur,43.35,3.63,58.97,5.85,-1.37,0.32
2023-09-23,Ajmer,26.57,87.13,75.81,-3.43,47.13,0.58
2023-01-14,Kota,16.74,1.84,56.24,-3.26,-3.16,0.27
2023-01-28,Kota,20.02,10.69,48.03,0.02,5.69,0.22
2023-09-12,Pali,33.65,32.22,48.88,3.65,-7.78,0.33
2023-01-02,Jaipur,24.27,7.08,40.66,4.27,2.08,0.24
2023-07-22,Sikar,26.58,72.66,39.41,-3.42,32.66,0.4
2023-09-03,Sikar,27.16,7.51,47.98,-2.84,-32.49,0.25
2023-06-18,Pali,41.57,5.34,39.3,4.07,0.34,0.23
2023-06-01,Bharatpur,39.26,9.19,62.77,1.76,4.19,0.3
2023-04-19,Ajmer,34.4,5.17,47.51,-3.1,0.17,0.25
2023-09-04,Bharatpur,29.6,92.48,55.55,-0.4,52.48,0.47
2023-06-13,Udaipur,39.1,4.16,57.78,1.6,-0.84,0.26
2023-01-19,Ajmer,16.54,1.36,42.69,-3.46,-3.64,0.22
2023-01-05,Bharatpur,17.77,13.55,71.5,-2.23,8.55,0.35
2023-05-04,Alwar,42.6,11.65,54.99,5.1,6.65,0.32
2023-08-27,Jodhpur,26.9,62.74,66.61,-3.1,22.74,0.48
2023-04-24,Bharatpur,35.22,11.48,46.39,-2.28,6.48,0.25
2023-06-12,Ajmer,44.45,6.39,35.55,6.95,1.39,0.25
2023-09-15,Jodhpur,33.54,52.27,37.28,3.54,12.27,0.34
2023-07-08,Jodhpur,32.54,40.84,59.49,2.54,0.84,0.38
2023-02-20,Pali,24.66,1.22,79.52,4.66,-3.78,0.38
2023-01-25,Jodhpur,15.1,10.88,86.28,-4.9,5.88,0.44
2023-06-07,Bikaner,42.94,3.84,35.14,5.44,-1.16,0.22
2023-03-25,Kota,44.37,5.14,87.93,6.87,0.14,0.46
2023-07-05,Bikaner,25.71,119.53,78.87,-4.29,79.53,0.69
2023-03-12,Sikar,39.88,10.56,54.24,2.38,5.56,0.28
2023-03-26,Bikaner,36.72,1.27,53.66,-0.78,-3.73,0.23
2023-05-26,Jaipur,33.44,9.84,42.45,-4.06,4.84,0.25
2023-07-28,Jodhpur,26.33,38.35,65.71,-3.67,-1.65,0.41
2023-07-10,Ajmer,32.95,97.41,50.71,2.95,57.41,0.5
2023-12-13,Ajmer,18.55,3.92,36.76,-1.45,-1.08,0.18
2023-07-30,Pali,34.35,77.23,39.87,4.35,37.23,0.42
2023-04-27,Jaipur,37.82,9.78,63.65,0.32,4.78,0.28
2023-08-07,Jodhpur,30.37,96.06,87.79,0.37,56.06,0.61
2023-12-11,Jodhpur,19.99,8.0,77.91,-0.01,3.0,0.33
2023-02-13,Ajmer,18.93,3.05,43.96,-1.07,-1.95,0.2
2023-05-24,Alwar,37.48,3.84,80.32,-0.02,-1.16,0.33
2023-03-03,Sikar,43.76,6.43,54.02,6.26,1.43,0.32
2023-01-02,Udaipur,23.06,10.63,80.88,3.06,5.63,0.39
2023-02-27,Pali,18.99,12.0,56.56,-1.01,7.0,0.27
2023-11-01,Bharatpur,29.42,63.37,50.09,-0.58,23.37,0.38
2023-06-02,Jaipur,41.67,7.08,45.96,4.17,2.08,0.26
2023-01-04,Ajmer,16.7,3.56,87.14,-3.3,-1.44,0.4
2023-05-14,Bikaner,31.92,2.49,59.31,-5.58,-2.51,0.32
2023-06-07,Bikaner,33.92,4.1,49.78,-3.58,-0.9,0.26
2023-08-11,Ajmer,34.51,24.07,61.15,4.51,-15.93,0.37
2023-04-02,Jodhpur,42.65,3.95,67.42,5.15,-1.05,0.35
2023-10-23,Sikar,33.72,32.38,53.32,3.72,-7.62,0.35
2023-12-16,Sikar,22.84,11.5,61.92,2.84,6.5,0.32
2023-11-30,Udaipur,33.3,62.17,85.58,3.3,22.17,0.55
2023-03-24,Alwar,43.95,1.89,61.05,6.45,-3.11,0.34
2023-05-10,Bharatpur,41.78,7.54,44.74,4.28,2.54,0.26
2023-04-04,Alwar,42.0,4.48,69.11,4.5,-0.52,0.35
2023-06-08,Bharatpur,32.35,6.39,39.9,-5.15,1.39,0.25
2023-07-15,Alwar,27.73,112.24,45.4,-2.27,72.24,0.51
2023-09-21,Jodhpur,31.52,7.04,52.25,1.52,-32.96,0.25
2023-12-13,Jaipur,23.44,2.15,66.45,3.44,-2.85,0.32
2023-04-15,Pali,43.95,5.74,56.26,6.45,0.74,0.33
2023-12-03,Jaipur,24.83,4.4,48.4,4.83,-0.6,0.27
2023-01-25,Bharatpur,18.03,4.38,88.85,-1.97,-0.62,0.39
2023-12-26,Jaipur,16.87,2.06,46.72,-3.13,-2.94,0.23
2023-01-02,Bharatpur,24.35,2.49,56.95,4.35,-2.51,0.29
2023-11-15,Alwar,28.2,106.13,65.09,-1.8,66.13,0.57
2023-02-22,Bikaner,20.65,4.18,64.4,0.65,-0.82,0.28
2023-05-25,Bikaner,35.13,7.61,89.5,-2.37,2.61,0.41
2023-11-24,Bharatpur,34.02,104.91,72.1,4.02,64.91,0.62
2023-06-16,Bikaner,39.89,13.38,43.17,2.39,8.38,0.24
2023-09-04,Pali,33.86,61.33,35.22,3.86,21.33,0.36
2023-06-16,Ajmer,41.28,4.87,42.86,3.78,-0.13,0.23
2023-08-01,Alwar,26.03,37.94,60.47,-3.97,-2.06,0.4
2023-12-12,Udaipur,17.53,3.02,78.22,-2.47,-1.98,0.35
2023-12-28,Kota,20.35,1.3,63.35,0.35,-3.7,0.26
2023-04-12,Udaipur,33.33,7.95,80.38,-4.17,2.95,0.4
2023-12-11,Kota,19.14,11.14,36.73,-0.86,6.14,0.19
2023-03-16,Jaipur,40.13,12.24,42.14,2.63,7.24,0.24
2023-05-17,Jodhpur,32.13,3.85,86.56,-5.37,-1.15,0.43
2023-01-20,Pali,23.66,10.4,70.17,3.66,5.4,0.36
2023-09-30,Sikar,34.8,19.85,40.74,4.8,-20.15,0.28
2023-08-05,Alwar,33.19,74.06,81.07,3.19,34.06,0.56
2023-02-16,Kota,20.01,11.14,78.18,0.01,6.14,0.34
2023-03-08,Bikaner,36.98,6.09,35.7,-0.52,1.09,0.17
2023-04-14,Bharatpur,30.19,6.56,41.8,-7.31,1.56,0.28
2023-05-27,Kota,33.82,14.78,84.76,-3.68,9.78,0.43
2023-01-07,Jaipur,22.96,10.83,48.32,2.96,5.83,0.26
2023-12-08,Bikaner,15.12,1.0,69.62,-4.88,-4.0,0.35
2023-09-09,Udaipur,25.31,5.97,81.11,-4.69,-34.03,0.4
2023-08-23,Sikar,27.08,57.77,45.8,-2.92,17.77,0.38
2023-07-30,Bikaner,33.21,104.55,86.22,3.21,64.55,0.67
2023-09-27,Jaipur,30.94,22.81,70.31,0.94,-17.19,0.35
2023-06-10,Bharatpur,37.35,3.5,87.86,-0.15,-1.5,0.36
2023-10-09,Jaipur,28.5,90.41,74.37,-1.5,50.41,0.56
2023-06-05,Sikar,35.55,1.3,36.79,-1.95,-3.7,0.18
2023-06-17,Udaipur,40.19,11.2,69.49,2.69,6.2,0.34
2023-07-17,Bharatpur,26.54,56.94,38.2,-3.46,16.94,0.35
2023-05-15,Bikaner,31.76,0.47,46.33,-5.74,-4.53,0.26
2023-12-25,Jodhpur,18.41,11.71,47.13,-1.59,6.71,0.24
2023-08-15,Ajmer,29.38,24.68,38.58,-0.62,-15.32,0.23
2023-07-30,Jaipur,28.55,116.25,68.36,-1.45,76.25,0.6
2023-09-14,Pali,28.19,12.92,74.18,-1.81,-27.08,0.36
2023-02-21,Jaipur,19.34,11.95,74.45,-0.66,6.95,0.34
2023-06-30,Jaipur,43.17,9.11,51.9,5.67,4.11,0.31
2023-12-12,Sikar,23.96,5.29,41.54,3.96,0.29,0.23
2023-12-23,Bikaner,15.62,1.42,74.79,-4.38,-3.58,0.36
2023-08-07,Bharatpur,26.88,90.62,79.3,-3.12,50.62,0.6
2023-04-27,Kota,33.58,1.27,41.45,-3.92,-3.73,0.22
2023-05-06,Kota,37.74,7.9,35.29,0.24,2.9,0.17
2023-04-11,Bharatpur,40.01,2.67,81.49,2.51,-2.33,0.37
2023-04-20,Alwar,35.43,3.76,67.46,-2.07,-1.24,0.31
2023-11-25,Pali,34.91,8.71,78.75,4.91,-31.29,0.4
2023-01-05,Jodhpur,19.52,11.02,48.44,-0.48,6.02,0.23
2023-05-25,Ajmer,43.96,13.89,75.64,6.46,8.89,0.43
2023-08-29,Udaipur,25.98,65.13,89.23,-4.02,25.13,0.58
2023-11-23,Pali,27.96,19.53,81.29,-2.04,-20.47,0.4
2023-08-10,Kota,32.99,31.98,79.24,2.99,-8.02,0.44
2023-04-13,Kota,42.06,4.19,40.42,4.56,-0.81,0.23
2023-06-03,Bharatpur,43.43,5.88,70.27,5.93,0.88,0.38
2023-07-26,Ajmer,28.43,93.56,41.86,-1.57,53.56,0.44
2023-12-15,Jodhpur,15.0,2.47,40.37,-5.0,-2.53,0.23
2023-12-06,Alwar,15.44,7.07,54.78,-4.56,2.07,0.3
2023-10-30,Alwar,30.0,6.69,47.32,0.0,-33.31,0.21
2023-03-10,Ajmer,33.8,10.32,83.62,-3.7,5.32,0.41
2023-09-08,Jaipur,32.42,47.58,83.65,2.42,7.58,0.49
2023-09-09,Pali,31.39,68.33,35.26,1.39,28.33,0.34
2023-07-07,Bikaner,29.03,90.85,39.98,-0.97,50.85,0.42
2023-03-05,Jodhpur,39.2,10.85,38.78,1.7,5.85,0.21
2023-09-26,Bharatpur,26.07,29.19,37.69,-3.93,-10.81,0.28
2023-04-17,Alwar,43.92,5.64,36.12,6.42,0.64,0.25
2023-10-29,Kota,29.59,110.04,60.5,-0.41,70.04,0.54
2023-04-29,Alwar,32.97,11.1,74.26,-4.53,6.1,0.39
2023-05-21,Jaipur,41.46,6.91,56.78,3.96,1.91,0.3
2023-08-28,Kota,25.3,56.59,73.52,-4.7,16.59,0.51
2023-08-18,Bharatpur,26.34,76.12,68.07,-3.66,36.12,0.52
2023-03-15,Ajmer,40.73,6.05,69.33,3.23,1.05,0.34
2023-02-26,Jodhpur,17.97,5.35,57.8,-2.03,0.35,0.27
2023-11-18,Jodhpur,30.19,23.88,43.98,0.19,-16.12,0.24
2023-08-29,Jaipur,34.03,10.08,66.37,4.03,-29.92,0.35
2023-09-26,Bikaner,31.01,62.89,81.94,1.01,22.89,0.51
2023-08-02,Pali,27.2,95.2,64.67,-2.8,55.2,0.55
2023-12-28,Bharatpur,19.58,5.57,49.33,-0.42,0.57,0.22
2023-08-01,Sikar,25.58,56.67,80.73,-4.42,16.67,0.53
2023-01-10,Kota,20.11,3.9,42.21,0.11,-1.1,0.18
2023-08-21,Ajmer,27.29,48.65,50.49,-2.71,8.65,0.37
2023-11-08,Bikaner,25.95,75.42,84.88,-4.05,35.42,0.59
2023-10-07,Jodhpur,32.09,19.98,78.3,2.09,-20.02,0.39
2023-07-03,Pali,31.36,9.35,89.41,1.36,-30.65,0.4
2023-12-29,Pali,16.02,12.32,55.73,-3.98,7.32,0.31
2023-05-07,Jaipur,39.34,5.57,75.04,1.84,0.57,0.34
2023-03-17,Udaipur,30.19,14.22,81.33,-7.31,9.22,0.46
2023-03-08,Alwar,41.52,2.67,36.97,4.02,-2.33,0.21
2023-11-18,Alwar,25.3,46.34,51.72,-4.7,6.34,0.39
2023-11-07,Pali,27.59,98.37,35.89,-2.41,58.37,0.44
2023-10-06,Bharatpur,33.06,108.54,45.1,3.06,68.54,0.51
2023-03-15,Jaipur,32.25,14.64,85.48,-5.25,9.64,0.45
2023-12-26,Bikaner,19.61,8.29,68.76,-0.39,3.29,0.3
2023-03-22,Bikaner,40.27,9.64,85.02,2.77,4.64,0.4
2023-08-01,Kota,30.23,104.46,50.05,0.23,64.46,0.48
2023-06-26,Jodhpur,33.7,10.79,55.55,-3.8,5.79,0.3
2023-05-24,Sikar,40.11,4.89,84.64,2.61,-0.11,0.39
2023-07-11,Jaipur,25.88,35.47,74.66,-4.12,-4.53,0.45
2023-05-30,Kota,43.44,4.88,84.19,5.94,-0.12,0.43
2023-11-06,Bikaner,34.02,119.64,87.69,4.02,79.64,0.72
2023-08-02,Udaipur,30.31,66.83,80.39,0.31,26.83,0.5
2023-04-12,Bharatpur,43.64,8.66,89.76,6.14,3.66,0.46
2023-01-21,Jaipur,21.39,11.92,71.04,1.39,6.92,0.33
2023-10-30,Ajmer,32.93,23.05,47.69,2.93,-16.95,0.29
2023-05-16,Bharatpur,34.87,8.21,59.45,-2.63,3.21,0.29
2023-02-12,Sikar,17.63,8.19,40.19,-2.37,3.19,0.21
2023-03-07,Kota,40.02,9.52,63.21,2.52,4.52,0.31
