sale_date,district,medicine_category,medicine_name,units_sold,daily_sales_growth,7_day_moving_average,demand_spike_flag
2023-05-01,Bharatpur,cough,Bromhexine,87,0.0,76,0
2023-07-28,Bharatpur,fever,Ibuprofen,198,0.0,186,0
2023-01-26,Ajmer,fever,Ibuprofen,240,1.4,226,1
2023-05-11,Bikaner,cold,Chlorpheniramine,181,0.0,185,0
2023-12-06,Udaipur,fever,Ibuprofen,209,0.0,208,0
2023-11-01,Udaipur,fever,Paracetamol,123,-0.01,113,0
2023-08-29,Kota,cough,Dextromethorphan,131,0.0,136,0
2023-08-17,Ajmer,cold,Chlorpheniramine,54,-0.52,63,0
2023-11-20,Alwar,cold,Cetirizine,79,0.0,88,0
2023-03-11,Jaipur,cough,Bromhexine,177,0.0,164,0
2023-02-11,Ajmer,fever,Ibuprofen,234,-0.03,227,0
2023-07-27,Udaipur,cough,Bromhexine,140,0.0,152,0
2023-11-17,Jaipur,antibiotic,Amoxicillin,106,-0.24,101,0
2023-11-05,Bharatpur,cough,Dextromethorphan,204,0.0,190,0
2023-09-27,Udaipur,fever,Aspirin,254,0.0,267,0
2023-06-10,Pali,fever,Ibuprofen,230,0.0,219,0
2023-08-24,Sikar,cough,Dextromethorphan,58,0.0,45,0
2023-06-09,Sikar,cough,Dextromethorphan,164,1.83,161,1
2023-09-29,Bikaner,fever,Aspirin,232,1.04,235,1
2023-01-14,Jodhpur,antibiotic,Azithromycin,81,1.31,87,1
2023-09-25,Bharatpur,cold,Cetirizine,73,-0.53,66,0
2023-02-15,Jodhpur,cough,Dextromethorphan,104,0.0,92,0
2023-09-23,Kota,cough,Bromhexine,151,0.0,140,0
2023-03-21,Alwar,cold,Cetirizine,79,0.0,77,0
2023-06-10,Ajmer,cough,Bromhexine,121,0.0,108,0
2023-03-12,Pali,cold,Chlorpheniramine,134,0.28,135,0
2023-10-02,Bikaner,fever,Ibuprofen,125,-0.21,122,0
2023-06-02,Bharatpur,cough,Bromhexine,100,0.15,87,0
2023-08-23,Sikar,fever,Ibuprofen,108,-0.61,98,0
2023-05-30,Alwar,fever,Aspirin,193,0.09,185,0
2023-08-29,Jaipur,cold,Cetirizine,98,0.0,107,0
2023-10-12,Bharatpur,fever,Paracetamol,93,0.0,95,0
2023-07-11,Sikar,antibiotic,Azithromycin,173,0.66,166,1
2023-10-24,Jodhpur,fever,Paracetamol,180,-0.16,173,0
2023-05-23,Bikaner,antibiotic,Amoxicillin,159,0.0,172,0
2023-02-10,Bikaner,cold,Chlorpheniramine,27,-0.85,13,0
2023-09-13,Sikar,cough,Dextromethorphan,175,0.07,167,0
2023-01-25,Pali,cold,Chlorpheniramine,157,0.17,155,0
2023-08-09,Jodhpur,antibiotic,Amoxicillin,28,0.0,42,0
2023-12-27,Kota,cold,Cetirizine,196,0.54,204,1
2023-04-12,Jaipur,cold,Chlorpheniramine,195,0.0,192,0
2023-12-29,Sikar,fever,Aspirin,84,0.0,81,0
2023-11-16,Bharatpur,cold,Cetirizine,193,1.64,196,1
2023-01-17,Udaipur,cough,Dextromethorphan,137,0.0,136,0
2023-04-05,Sikar,cough,Bromhexine,156,-0.01,148,0
2023-06-01,Alwar,antibiotic,Amoxicillin,174,0.0,187,0
2023-04-23,Jaipur,cough,Bromhexine,167,-0.06,175,0
2023-08-20,Ajmer,antibiotic,Azithromycin,82,0.0,78,0
2023-04-18,Kota,cold,Chlorpheniramine,115,3.6,116,1
2023-11-13,Jaipur,cough,Dextromethorphan,87,0.0,89,0
2023-03-04,Jaipur,antibiotic,Azithromycin,183,0.0,170,0
2023-07-13,Ajmer,cough,Dextromethorphan,101,-0.42,96,0
2023-09-30,Jaipur,antibiotic,Amoxicillin,112,0.06,118,0
2023-12-09,Ajmer,antibiotic,Amoxicillin,36,0.0,41,0
2023-08-18,Kota,fever,Aspirin,237,-0.09,229,0
2023-12-12,Jaipur,fever,Ibuprofen,290,0.0,288,0
2023-02-19,Alwar,fever,Paracetamol,128,0.0,140,0
2023-04-28,Udaipur,antibiotic,Azithromycin,22,-0.7,12,0
2023-03-31,Jaipur,fever,Ibuprofen,165,-0.43,154,0
2023-07-27,Udaipur,cold,Cetirizine,176,0.0,163,0
2023-09-06,Alwar,antibiotic,Azithromycin,33,-0.46,23,0
2023-08-02,Pali,cough,Dextromethorphan,82,0.0,85,0
2023-04-22,Jodhpur,cold,Chlorpheniramine,104,-0.36,114,0
2023-05-30,Bharatpur,antibiotic,Azithromycin,88,0.0,81,0
2023-10-09,Bikaner,fever,Ibuprofen,173,0.38,183,1
2023-12-04,Kota,fever,Aspirin,115,-0.51,102,0
2023-10-02,Udaipur,fever,Aspirin,173,-0.32,180,0
2023-10-08,Bikaner,cold,Chlorpheniramine,146,4.41,154,1
2023-10-08,Alwar,cough,Dextromethorphan,125,-0.43,134,0
2023-05-24,Udaipur,fever,Ibuprofen,192,-0.08,177,0
2023-08-19,Jodhpur,cough,Dextromethorphan,96,-0.08,87,0
2023-07-22,Jodhpur,cough,Dextromethorphan,192,1.0,190,1
2023-07-13,Bikaner,cold,Cetirizine,51,-0.57,64,0
2023-02-22,Pali,antibiotic,Azithromycin,76,0.0,82,0
2023-03-21,Bikaner,fever,Paracetamol,76,0.0,67,0
2023-04-14,Udaipur,antibiotic,Amoxicillin,138,0.0,137,0
2023-10-06,Bharatpur,cough,Bromhexine,169,0.69,173,1
2023-07-02,Sikar,cold,Chlorpheniramine,108,0.74,107,1
2023-08-25,Pali,antibiotic,Amoxicillin,93,-0.18,85,0
2023-11-10,Jaipur,cold,Cetirizine,114,0.16,127,0
2023-01-09,Jodhpur,antibiotic,Amoxicillin,126,3.5,117,1
2023-10-24,Pali,antibiotic,Amoxicillin,78,-0.16,78,0
2023-01-04,Bharatpur,cold,Cetirizine,63,-0.67,74,0
2023-07-01,Bharatpur,cough,Dextromethorphan,146,-0.28,141,0
2023-11-03,Udaipur,cough,Bromhexine,58,-0.59,72,0
2023-06-20,Sikar,cough,Bromhexine,171,0.1,158,0
2023-11-17,Jodhpur,antibiotic,Amoxicillin,62,-0.51,67,0
2023-11-08,Kota,cough,Dextromethorphan,196,0.5,187,1
2023-05-07,Alwar,antibiotic,Amoxicillin,58,-0.67,45,0
2023-04-02,Bharatpur,fever,Ibuprofen,70,-0.65,76,0
2023-10-28,Jodhpur,antibiotic,Amoxicillin,94,0.52,89,1
2023-12-04,Bikaner,cold,Chlorpheniramine,160,0.1,173,0
2023-07-28,Bharatpur,fever,Aspirin,164,0.0,149,0
2023-04-05,Jaipur,cold,Cetirizine,155,0.36,148,1
2023-08-09,Ajmer,cold,Chlorpheniramine,107,0.98,94,1
2023-09-13,Ajmer,antibiotic,Amoxicillin,127,2.53,131,1
2023-09-02,Ajmer,fever,Ibuprofen,237,0.01,231,0
2023-11-21,Kota,fever,Paracetamol,179,0.53,168,1
2023-04-24,Alwar,cough,Dextromethorphan,91,-0.27,93,0
2023-07-01,Kota,fever,Ibuprofen,114,0.0,99,0
2023-03-11,Jaipur,cold,Chlorpheniramine,115,-0.41,102,0
2023-10-16,Pali,antibiotic,Amoxicillin,132,0.69,138,1
2023-02-10,Sikar,cold,Cetirizine,20,-0.86,14,0
2023-02-25,Bharatpur,fever,Ibuprofen,246,2.51,254,1
2023-10-22,Alwar,fever,Paracetamol,235,0.84,224,1
2023-08-07,Pali,cold,Chlorpheniramine,119,-0.24,126,0
2023-07-04,Pali,cough,Bromhexine,175,2.3,171,1
2023-12-22,Ajmer,cold,Cetirizine,197,0.52,183,1
2023-07-24,Jodhpur,cold,Cetirizine,186,1.58,177,1
2023-07-26,Jaipur,cold,Cetirizine,23,-0.85,24,0
2023-05-09,Jaipur,cough,Bromhexine,107,-0.36,115,0
2023-08-25,Pali,antibiotic,Amoxicillin,113,-0.14,98,0
2023-05-10,Bharatpur,cough,Dextromethorphan,95,-0.35,80,0
2023-09-24,Jaipur,cold,Chlorpheniramine,48,-0.58,56,0
2023-08-05,Bharatpur,cough,Bromhexine,171,0.01,170,0
2023-02-27,Bikaner,cold,Chlorpheniramine,199,0.24,206,0
2023-08-04,Pali,cough,Bromhexine,176,0.01,182,0
2023-02-20,Ajmer,cough,Bromhexine,67,-0.45,80,0
2023-04-13,Ajmer,fever,Paracetamol,217,-0.25,210,0
2023-06-18,Kota,antibiotic,Azithromycin,84,-0.2,93,0
2023-03-11,Bikaner,antibiotic,Azithromycin,96,2.1,100,1
2023-09-28,Jodhpur,cold,Chlorpheniramine,59,-0.43,58,0
2023-05-03,Ajmer,fever,Paracetamol,270,0.24,274,0
2023-07-31,Kota,cough,Bromhexine,151,0.0,137,0
2023-03-19,Pali,cold,Cetirizine,52,0.0,56,0
2023-09-18,Kota,fever,Aspirin,245,1.13,240,1
2023-03-28,Kota,cold,Chlorpheniramine,148,0.29,160,0
2023-08-26,Udaipur,fever,Paracetamol,138,0.12,139,0
2023-08-17,Jaipur,antibiotic,Amoxicillin,136,0.21,142,0
2023-03-27,Bikaner,fever,Paracetamol,86,0.13,81,0
2023-01-06,Kota,cough,Dextromethorphan,66,-0.66,79,0
2023-04-29,Sikar,cold,Chlorpheniramine,165,0.53,170,1
2023-03-20,Kota,fever,Aspirin,186,-0.24,182,0
2023-11-14,Sikar,antibiotic,Azithromycin,50,-0.71,62,0
2023-06-09,Ajmer,cough,Bromhexine,75,0.12,64,0
2023-07-14,Sikar,antibiotic,Amoxicillin,107,0.0,106,0
2023-06-03,Alwar,cold,Chlorpheniramine,179,0.0,173,0
2023-06-22,Bharatpur,fever,Paracetamol,208,1.24,201,1
2023-02-16,Pali,cold,Cetirizine,186,2.58,182,1
2023-08-30,Sikar,cough,Bromhexine,124,-0.27,118,0
2023-08-19,Jodhpur,antibiotic,Amoxicillin,177,0.88,175,1
2023-10-01,Jaipur,cough,Bromhexine,194,0.81,207,1
2023-02-07,Pali,cough,Dextromethorphan,59,-0.28,51,0
2023-10-11,Ajmer,cough,Bromhexine,119,0.59,117,1
2023-05-21,Ajmer,cough,Dextromethorphan,61,-0.4,51,0
2023-06-01,Pali,cold,Chlorpheniramine,116,-0.03,120,0
2023-02-09,Bikaner,fever,Ibuprofen,237,0.37,229,1
2023-09-25,Udaipur,cough,Dextromethorphan,46,-0.66,46,0
2023-01-10,Jodhpur,cough,Dextromethorphan,97,-0.49,83,0
2023-04-14,Jodhpur,cold,Cetirizine,174,-0.06,176,0
2023-04-09,Jaipur,cough,Dextromethorphan,209,1.4,211,1
2023-12-16,Udaipur,antibiotic,Azithromycin,168,6.64,177,1
2023-07-22,Alwar,antibiotic,Amoxicillin,84,0.45,97,1
2023-03-15,Sikar,antibiotic,Amoxicillin,64,-0.4,60,0
2023-07-23,Ajmer,cold,Chlorpheniramine,178,0.66,192,1
2023-03-29,Ajmer,cough,Dextromethorphan,103,0.69,113,1
2023-09-13,Jodhpur,antibiotic,Amoxicillin,63,-0.64,68,0
2023-04-16,Udaipur,cold,Cetirizine,192,0.09,194,0
2023-12-25,Sikar,cough,Dextromethorphan,215,0.23,203,0
2023-02-02,Sikar,fever,Ibuprofen,213,0.97,218,1
2023-01-06,Jodhpur,cold,Chlorpheniramine,125,1.12,112,1
2023-03-08,Kota,antibiotic,Amoxicillin,181,1.74,184,1
2023-07-21,Bikaner,antibiotic,Azithromycin,74,-0.23,67,0
2023-04-03,Bharatpur,cough,Bromhexine,183,0.07,196,0
2023-12-23,Ajmer,cold,Cetirizine,111,-0.44,105,0
2023-02-23,Udaipur,cold,Cetirizine,132,-0.31,133,0
2023-01-12,Bikaner,fever,Ibuprofen,136,-0.43,124,0
2023-03-28,Bikaner,cold,Chlorpheniramine,77,-0.61,87,0
2023-07-12,Kota,cold,Cetirizine,116,-0.41,111,0
2023-11-17,Alwar,fever,Ibuprofen,141,0.0,128,0
2023-11-20,Bharatpur,cold,Chlorpheniramine,85,0.0,95,0
2023-09-06,Jodhpur,cough,Dextromethorphan,127,0.31,116,1
2023-05-22,Kota,cold,Cetirizine,37,-0.68,23,0
2023-05-11,Bikaner,antibiotic,Amoxicillin,185,0.16,184,0
2023-08-26,Ajmer,cold,Cetirizine,174,0.57,159,1
2023-12-03,Jaipur,fever,Aspirin,162,-0.38,153,0
2023-01-29,Pali,cold,Chlorpheniramine,144,0.24,158,0
2023-03-23,Udaipur,fever,Paracetamol,227,0.64,236,1
2023-02-08,Pali,cough,Bromhexine,220,0.25,231,0
2023-05-23,Kota,fever,Paracetamol,179,0.0,188,0
2023-08-30,Alwar,cough,Bromhexine,70,0.0,74,0
2023-07-09,Udaipur,antibiotic,Azithromycin,91,-0.46,91,0
2023-10-28,Alwar,cough,Bromhexine,143,1.04,156,1
2023-09-29,Sikar,antibiotic,Azithromycin,63,0.26,66,0
2023-07-09,Sikar,antibiotic,Azithromycin,168,1.67,172,1
2023-03-12,Kota,cough,Dextromethorphan,188,1.85,183,1
2023-06-26,Sikar,fever,Aspirin,110,0.31,109,1
2023-11-09,Ajmer,antibiotic,Azithromycin,105,0.28,91,0
2023-07-30,Sikar,cold,Chlorpheniramine,182,0.1,169,0
2023-05-05,Alwar,cold,Cetirizine,164,1.08,162,1
2023-05-25,Pali,antibiotic,Azithromycin,50,-0.34,60,0
2023-04-16,Jodhpur,cough,Bromhexine,86,0.0,92,0
2023-09-21,Kota,cough,Bromhexine,169,0.12,178,0
2023-09-01,Ajmer,cough,Bromhexine,210,0.76,215,1
2023-11-28,Bikaner,cold,Cetirizine,40,-0.22,27,0
2023-09-29,Kota,antibiotic,Azithromycin,44,-0.48,52,0
2023-11-04,Bikaner,cold,Chlorpheniramine,85,0.1,85,0
2023-06-01,Kota,cold,Cetirizine,52,0.41,41,1
2023-01-22,Pali,cough,Dextromethorphan,187,2.17,193,1
2023-01-25,Kota,cold,Cetirizine,164,2.15,174,1
2023-09-18,Ajmer,cough,Dextromethorphan,235,1.28,234,1
2023-06-02,Bharatpur,fever,Ibuprofen,116,-0.53,104,0
2023-04-22,Jaipur,cough,Bromhexine,203,0.05,197,0
2023-03-18,Udaipur,cough,Bromhexine,130,1.24,118,1
2023-09-03,Pali,fever,Aspirin,189,0.56,179,1
2023-01-06,Kota,cold,Chlorpheniramine,27,-0.82,18,0
2023-04-08,Alwar,fever,Aspirin,268,0.39,258,1
2023-09-25,Pali,cough,Bromhexine,52,-0.76,56,0
2023-08-16,Bikaner,cold,Chlorpheniramine,73,-0.14,66,0
2023-05-12,Alwar,cold,Cetirizine,100,-0.39,98,0
2023-05-26,Bikaner,cold,Cetirizine,151,2.77,136,1
2023-08-14,Ajmer,antibiotic,Amoxicillin,97,-0.24,105,0
2023-11-08,Jaipur,antibiotic,Azithromycin,123,-0.33,108,0
2023-01-29,Ajmer,antibiotic,Amoxicillin,45,-0.54,42,0
2023-12-25,Jodhpur,cold,Cetirizine,98,-0.44,107,0
2023-05-25,Alwar,cough,Bromhexine,40,-0.72,32,0
2023-12-02,Bharatpur,fever,Paracetamol,140,-0.33,147,0
2023-12-06,Udaipur,antibiotic,Azithromycin,188,1.07,192,1
2023-05-21,Bikaner,fever,Aspirin,244,0.05,242,0
2023-06-27,Pali,cough,Bromhexine,190,2.65,198,1
2023-12-21,Pali,antibiotic,Azithromycin,155,2.1,155,1
2023-07-25,Alwar,cough,Bromhexine,205,4.12,192,1
2023-01-01,Kota,antibiotic,Azithromycin,138,2.14,141,1
2023-06-15,Sikar,cold,Cetirizine,195,8.75,180,1
2023-05-24,Ajmer,fever,Aspirin,201,0.14,194,0
2023-01-21,Jaipur,cough,Dextromethorphan,151,-0.28,163,0
2023-10-07,Jodhpur,cough,Dextromethorphan,225,0.77,216,1
2023-10-22,Pali,fever,Aspirin,130,-0.31,138,0
2023-07-22,Pali,fever,Paracetamol,165,0.0,160,0
2023-03-14,Pali,cold,Cetirizine,25,-0.87,21,0
2023-07-02,Pali,antibiotic,Amoxicillin,126,0.12,131,0
2023-12-30,Jaipur,cough,Dextromethorphan,114,-0.25,103,0
2023-12-30,Alwar,antibiotic,Azithromycin,36,0.09,22,0
2023-05-06,Udaipur,cold,Chlorpheniramine,114,0.0,104,0
2023-12-04,Pali,cold,Cetirizine,138,4.52,140,1
2023-01-24,Jaipur,cough,Dextromethorphan,122,0.07,108,0
2023-04-12,Pali,antibiotic,Amoxicillin,149,0.18,151,0
2023-02-11,Kota,cold,Chlorpheniramine,111,3.11,110,1
2023-11-02,Jaipur,fever,Aspirin,179,0.1,173,0
2023-09-25,Pali,fever,Paracetamol,186,0.13,175,0
2023-10-08,Pali,fever,Paracetamol,286,0.54,300,1
2023-12-08,Bharatpur,cough,Dextromethorphan,181,0.91,187,1
2023-10-30,Jaipur,antibiotic,Amoxicillin,181,0.33,191,1
2023-11-23,Jodhpur,antibiotic,Azithromycin,48,-0.41,50,0
2023-01-27,Pali,cold,Chlorpheniramine,113,-0.22,98,0
2023-07-04,Ajmer,antibiotic,Azithromycin,32,-0.7,24,0
2023-02-09,Sikar,cold,Chlorpheniramine,96,-0.47,91,0
2023-11-19,Bikaner,antibiotic,Azithromycin,36,-0.51,48,0
2023-12-30,Udaipur,cold,Cetirizine,76,-0.42,73,0
2023-10-04,Bharatpur,fever,Aspirin,159,-0.03,144,0
2023-08-03,Sikar,fever,Aspirin,265,1.41,260,1
2023-01-30,Pali,cold,Cetirizine,152,0.1,157,0
2023-05-08,Jaipur,fever,Paracetamol,166,0.0,168,0
2023-08-29,Jodhpur,antibiotic,Azithromycin,177,2.69,165,1
2023-08-01,Bikaner,cold,Chlorpheniramine,39,-0.47,25,0
2023-03-29,Udaipur,cough,Bromhexine,83,-0.36,70,0
2023-03-11,Pali,fever,Aspirin,175,0.35,160,1
2023-09-27,Ajmer,cough,Dextromethorphan,51,-0.78,46,0
2023-10-01,Pali,cold,Chlorpheniramine,163,0.44,164,1
2023-09-10,Kota,fever,Aspirin,150,-0.19,145,0
2023-02-23,Kota,antibiotic,Amoxicillin,174,-0.04,167,0
2023-06-01,Udaipur,cold,Cetirizine,117,0.54,126,1
2023-03-01,Sikar,fever,Ibuprofen,219,0.03,223,0
2023-04-06,Bharatpur,cold,Chlorpheniramine,110,0.29,100,0
2023-11-01,Alwar,cold,Cetirizine,199,0.99,208,1
2023-04-20,Jaipur,antibiotic,Azithromycin,37,-0.7,41,0
2023-01-29,Pali,cough,Dextromethorphan,169,-0.1,173,0
2023-03-02,Jodhpur,antibiotic,Azithromycin,198,0.12,209,0
2023-07-28,Bharatpur,cold,Chlorpheniramine,128,0.16,133,0
2023-03-28,Jaipur,cold,Chlorpheniramine,71,0.48,80,1
2023-02-28,Kota,antibiotic,Amoxicillin,157,-0.1,167,0
2023-05-27,Kota,cold,Cetirizine,151,-0.08,150,0
2023-01-18,Sikar,fever,Aspirin,136,-0.49,144,0
2023-07-20,Sikar,cough,Dextromethorphan,115,-0.47,124,0
2023-02-01,Pali,antibiotic,Azithromycin,71,-0.54,72,0
2023-11-21,Jaipur,fever,Aspirin,129,-0.28,120,0
2023-09-22,Sikar,antibiotic,Azithromycin,79,-0.53,73,0
2023-05-07,Kota,antibiotic,Amoxicillin,46,-0.71,58,0
2023-10-11,Kota,cold,Chlorpheniramine,197,0.77,201,1
2023-07-11,Ajmer,cold,Cetirizine,104,-0.4,117,0
2023-12-30,Udaipur,cold,Cetirizine,174,0.49,167,1
2023-09-10,Pali,antibiotic,Azithromycin,175,1.46,183,1
2023-05-26,Sikar,cold,Chlorpheniramine,79,-0.18,69,0
2023-01-29,Bharatpur,cough,Bromhexine,84,-0.54,97,0
2023-08-24,Bharatpur,fever,Paracetamol,130,-0.07,144,0
2023-02-15,Alwar,fever,Ibuprofen,166,0.18,172,0
2023-02-13,Bharatpur,antibiotic,Amoxicillin,156,0.0,150,0
2023-10-08,Ajmer,cold,Chlorpheniramine,130,-0.27,126,0
2023-08-16,Udaipur,cold,Cetirizine,188,0.08,179,0
2023-04-12,Sikar,antibiotic,Amoxicillin,181,1.83,193,1
2023-08-09,Jodhpur,antibiotic,Amoxicillin,82,0.3,69,0
2023-05-23,Kota,antibiotic,Azithromycin,157,0.14,147,0
2023-03-22,Kota,antibiotic,Azithromycin,187,0.19,181,0
2023-09-18,Alwar,fever,Ibuprofen,178,0.07,177,0
2023-05-20,Udaipur,antibiotic,Azithromycin,31,-0.84,38,0
2023-05-01,Bikaner,cough,Dextromethorphan,214,0.0,208,0
2023-05-07,Ajmer,cough,Dextromethorphan,80,0.57,71,1
2023-03-02,Sikar,cold,Chlorpheniramine,39,-0.51,51,0
2023-05-22,Ajmer,fever,Ibuprofen,146,-0.38,149,0
2023-12-01,Sikar,fever,Aspirin,106,-0.22,105,0
2023-07-10,Jaipur,cough,Bromhexine,134,-0.34,135,0
2023-04-15,Bharatpur,fever,Aspirin,210,0.32,196,1
2023-02-25,Sikar,cold,Chlorpheniramine,58,0.49,50,1
2023-03-27,Alwar,cold,Chlorpheniramine,71,-0.6,58,0
2023-04-19,Bikaner,cough,Dextromethorphan,114,-0.47,125,0
2023-07-09,Jaipur,antibiotic,Azithromycin,60,0.62,48,1
2023-01-25,Pali,fever,Ibuprofen,221,-0.04,219,0
2023-08-26,Sikar,fever,Ibuprofen,139,-0.37,127,0
2023-06-24,Pali,cold,Cetirizine,65,-0.57,62,0
2023-11-25,Jodhpur,cough,Dextromethorphan,61,-0.73,75,0
2023-06-01,Alwar,antibiotic,Azithromycin,22,-0.39,28,0
2023-07-04,Bikaner,cold,Chlorpheniramine,121,2.1,115,1
2023-03-06,Udaipur,antibiotic,Amoxicillin,113,-0.18,121,0
2023-07-26,Jaipur,cold,Chlorpheniramine,194,1.73,200,1
2023-08-22,Alwar,cold,Cetirizine,68,-0.66,67,0
2023-01-30,Bharatpur,cold,Cetirizine,131,1.08,122,1
2023-12-02,Ajmer,cold,Cetirizine,149,0.43,150,1
2023-10-31,Pali,fever,Ibuprofen,92,-0.58,82,0
2023-05-14,Bharatpur,cold,Cetirizine,46,-0.65,36,0
2023-10-24,Bikaner,fever,Ibuprofen,92,-0.32,92,0
2023-10-17,Bharatpur,cough,Bromhexine,203,1.42,216,1
2023-10-01,Pali,fever,Ibuprofen,121,0.32,125,1
2023-07-16,Jaipur,cough,Bromhexine,89,-0.34,88,0
2023-08-23,Jodhpur,antibiotic,Amoxicillin,25,-0.7,17,0
2023-12-02,Jaipur,antibiotic,Amoxicillin,144,-0.2,131,0
2023-08-11,Bharatpur,fever,Aspirin,201,-0.04,208,0
2023-03-15,Udaipur,cough,Bromhexine,219,1.64,229,1
2023-06-27,Sikar,cough,Dextromethorphan,90,-0.22,103,0
2023-05-04,Bikaner,cough,Bromhexine,166,0.06,156,0
2023-02-16,Pali,antibiotic,Amoxicillin,66,-0.56,60,0
2023-02-13,Bharatpur,cold,Chlorpheniramine,37,-0.71,22,0
2023-03-08,Jaipur,cold,Cetirizine,166,6.22,166,1
2023-02-19,Ajmer,fever,Ibuprofen,149,0.02,160,0
2023-04-29,Udaipur,antibiotic,Amoxicillin,25,-0.78,26,0
2023-08-28,Bharatpur,antibiotic,Amoxicillin,198,0.27,187,0
2023-07-18,Ajmer,antibiotic,Amoxicillin,94,1.09,96,1
2023-10-20,Udaipur,fever,Paracetamol,131,-0.42,121,0
2023-10-11,Jaipur,cold,Chlorpheniramine,79,-0.59,67,0
2023-01-13,Bharatpur,cough,Dextromethorphan,107,-0.41,106,0
2023-09-13,Jodhpur,antibiotic,Azithromycin,159,-0.2,170,0
2023-04-30,Pali,antibiotic,Azithromycin,89,-0.49,90,0
2023-07-24,Jaipur,antibiotic,Azithromycin,76,0.27,74,0
2023-08-08,Jodhpur,cold,Cetirizine,54,-0.45,66,0
2023-01-08,Sikar,antibiotic,Amoxicillin,62,-0.66,60,0
2023-07-28,Bikaner,fever,Ibuprofen,128,0.39,133,1
2023-08-08,Pali,antibiotic,Amoxicillin,119,0.8,131,1
2023-11-19,Udaipur,antibiotic,Azithromycin,176,4.68,184,1
2023-07-16,Jaipur,antibiotic,Azithromycin,187,1.46,199,1
2023-07-29,Sikar,fever,Ibuprofen,282,1.03,277,1
2023-09-10,Kota,antibiotic,Azithromycin,114,-0.39,100,0
2023-12-20,Jaipur,cough,Bromhexine,81,-0.09,71,0
2023-09-20,Sikar,cold,Chlorpheniramine,21,-0.64,34,0
2023-03-18,Ajmer,cough,Bromhexine,91,-0.57,96,0
2023-04-08,Bikaner,cough,Bromhexine,174,0.05,175,0
