report_date,district,disease_name,confirmed_cases,recovered_cases,death_count,outbreak_status,weekly_case_growth,historical_average_cases
2023-01-26,Bikaner,Malaria,61,54,1,Low,0.02,55
2023-06-18,Sikar,Dengue,98,59,1,Low,0.1,71
2023-12-21,Udaipur,Malaria,76,54,1,High,7.44,59
2023-07-01,Jodhpur,Malaria,46,32,0,Low,0.07,49
2023-11-08,Jaipur,Dengue,61,46,0,Low,-0.43,48
2023-09-04,Jaipur,COVID-19,214,152,3,High,0.8,197
2023-02-01,Alwar,COVID-19,116,75,2,Medium,0.29,104
2023-10-20,Bharatpur,Malaria,39,33,0,Low,-0.46,39
2023-03-06,Kota,Malaria,5,3,0,Low,0.0,4
2023-07-03,Bikaner,Dengue,111,67,0,High,0.48,101
2023-09-12,Alwar,Malaria,10,8,0,Low,-0.85,7
2023-07-02,Pali,Malaria,56,45,1,Low,-0.07,42
2023-07-25,Sikar,Malaria,71,46,1,Medium,0.11,66
2023-05-05,Udaipur,Malaria,62,40,1,Low,-0.18,61
2023-09-01,Alwar,Dengue,5,3,0,Low,-0.5,4
2023-05-01,Jaipur,COVID-19,298,190,6,High,0.39,217
2023-02-02,Bharatpur,Malaria,38,23,0,Low,-0.03,35
2023-10-18,Udaipur,COVID-19,47,33,1,Low,-0.82,50
2023-03-31,Jaipur,Malaria,8,4,0,Low,-0.64,6
2023-10-12,Ajmer,COVID-19,258,201,4,High,1.37,214
2023-09-07,Bikaner,Dengue,63,47,1,Low,-0.43,59
2023-10-14,Kota,COVID-19,229,139,2,Low,0.0,208
2023-11-13,Bharatpur,Dengue,112,96,2,Medium,0.29,105
2023-11-11,Sikar,COVID-19,20,13,0,Low,0.0,19
2023-05-23,Jodhpur,Malaria,11,9,0,Low,-0.76,8
2023-01-16,Ajmer,Malaria,24,19,0,Low,0.0,23
2023-06-09,Alwar,Dengue,14,11,0,High,1.8,13
2023-10-23,Ajmer,Dengue,42,27,0,Low,0.02,33
2023-09-03,Alwar,Dengue,44,33,1,High,2.14,42
2023-12-11,Jaipur,Malaria,78,63,1,High,8.75,70
2023-10-23,Jodhpur,Dengue,64,40,1,Low,-0.2,64
2023-03-27,Jodhpur,COVID-19,30,20,0,Low,-0.78,21
2023-10-15,Ajmer,COVID-19,188,152,2,Low,-0.27,191
2023-09-05,Kota,Malaria,14,12,0,High,1.8,11
2023-08-13,Jaipur,Dengue,34,29,0,Low,-0.44,27
2023-10-03,Alwar,Dengue,36,25,1,Low,-0.18,29
2023-08-21,Sikar,Dengue,66,47,1,Low,-0.33,72
2023-09-27,Sikar,Dengue,105,78,1,High,0.59,100
2023-03-31,Bharatpur,Malaria,62,38,0,High,0.63,59
2023-05-14,Udaipur,Dengue,108,78,0,Low,-0.08,109
2023-04-27,Sikar,COVID-19,245,170,7,High,11.25,205
2023-02-05,Pali,Dengue,21,15,0,Low,-0.77,18
2023-04-30,Bikaner,Malaria,70,60,1,Medium,0.15,75
2023-01-09,Jodhpur,Malaria,55,39,0,High,4.0,47
2023-03-14,Jaipur,Malaria,17,10,0,Low,-0.78,12
2023-04-17,Sikar,Dengue,98,69,2,Low,-0.07,103
2023-05-01,Bharatpur,Dengue,34,28,0,Low,-0.7,33
2023-08-01,Bharatpur,Malaria,18,16,0,Low,-0.71,13
2023-10-22,Sikar,COVID-19,214,164,1,Low,-0.13,186
2023-03-30,Bharatpur,Dengue,49,41,0,Medium,0.44,53
2023-01-23,Kota,COVID-19,166,119,4,Low,-0.28,168
2023-11-14,Udaipur,Malaria,6,5,0,Low,-0.9,5
2023-06-02,Ajmer,Malaria,44,26,0,High,0.83,31
2023-01-11,Pali,Malaria,43,30,0,Low,-0.23,30
2023-03-01,Kota,Dengue,20,17,0,Medium,0.25,20
2023-03-27,Jodhpur,COVID-19,22,13,0,Low,-0.27,24
2023-02-21,Udaipur,Malaria,62,46,0,High,9.33,45
2023-10-10,Pali,COVID-19,96,62,1,High,0.43,83
2023-06-11,Pali,COVID-19,118,98,2,Medium,0.23,122
2023-08-16,Pali,COVID-19,295,221,6,High,1.5,254
2023-02-09,Udaipur,Malaria,3,2,0,Low,-0.95,2
2023-02-01,Udaipur,Dengue,24,19,0,Low,-0.78,22
2023-02-03,Alwar,Dengue,102,82,1,High,1.83,101
2023-01-02,Sikar,Dengue,113,100,1,Medium,0.15,95
2023-12-12,Kota,COVID-19,232,142,4,High,0.4,175
2023-01-25,Alwar,COVID-19,169,127,4,High,0.46,131
2023-05-09,Pali,Dengue,89,57,2,High,3.24,86
2023-08-27,Udaipur,Dengue,22,16,0,Low,-0.08,21
2023-02-17,Jodhpur,COVID-19,227,182,3,High,9.32,169
2023-06-08,Ajmer,Malaria,62,47,1,High,0.41,52
2023-08-24,Jodhpur,Malaria,54,38,1,Low,-0.02,39
2023-02-12,Bikaner,Dengue,43,28,0,Low,-0.32,35
2023-12-25,Bharatpur,COVID-19,65,39,0,Low,-0.56,69
2023-01-27,Ajmer,Dengue,115,77,0,High,1.74,114
2023-03-12,Pali,Dengue,112,68,1,Medium,0.26,82
2023-04-17,Bharatpur,COVID-19,155,116,2,High,1.38,129
2023-06-07,Jodhpur,COVID-19,249,189,2,Low,0.1,184
2023-05-09,Alwar,Malaria,40,31,0,High,3.0,36
2023-02-02,Ajmer,Dengue,11,7,0,Low,-0.9,10
2023-08-12,Alwar,Malaria,55,36,0,High,0.38,45
2023-09-19,Udaipur,Malaria,48,30,1,High,15.0,41
2023-05-13,Jaipur,Dengue,17,11,0,Low,-0.5,13
2023-03-18,Udaipur,Malaria,29,18,0,Low,-0.4,30
2023-06-16,Bharatpur,COVID-19,257,212,3,High,0.66,183
2023-05-13,Bikaner,COVID-19,296,232,8,Medium,0.26,211
2023-06-27,Jaipur,Malaria,4,2,0,Low,-0.76,2
2023-07-27,Pali,Dengue,28,22,0,Low,-0.75,20
2023-01-09,Sikar,Dengue,37,27,0,Low,-0.67,27
2023-11-24,Bharatpur,COVID-19,207,131,1,Low,-0.19,171
2023-02-11,Alwar,Malaria,27,21,0,Low,-0.51,20
2023-03-12,Udaipur,Malaria,58,43,1,High,1.0,56
2023-05-23,Alwar,COVID-19,161,121,2,Low,-0.05,154
2023-06-05,Jaipur,Dengue,37,27,0,High,1.18,34
2023-05-12,Pali,Dengue,70,53,1,High,1.5,56
2023-07-16,Kota,Malaria,6,3,0,Low,-0.57,4
2023-06-03,Jodhpur,Dengue,52,31,0,Low,-0.19,52
2023-05-12,Kota,Malaria,16,14,0,High,1.67,11
2023-12-03,Pali,Malaria,57,44,1,High,0.33,53
2023-11-08,Bharatpur,COVID-19,97,82,1,Low,-0.53,72
2023-05-17,Jaipur,COVID-19,160,111,2,Low,-0.46,163
2023-11-02,Pali,Malaria,66,53,1,Medium,0.16,61
2023-12-09,Jodhpur,Dengue,106,84,0,High,1.04,92
2023-11-29,Jodhpur,COVID-19,243,190,5,Low,-0.02,198
2023-04-10,Bharatpur,Dengue,19,14,0,Low,-0.61,16
2023-12-19,Bharatpur,COVID-19,239,212,2,High,1.46,176
2023-08-29,Alwar,Malaria,8,5,0,Low,-0.7,7
2023-08-10,Bikaner,COVID-19,150,129,1,Low,-0.49,106
2023-04-03,Jodhpur,Dengue,20,17,0,Low,-0.81,15
2023-10-31,Udaipur,COVID-19,183,121,1,High,2.89,142
2023-06-21,Jodhpur,Malaria,42,26,0,Low,-0.22,34
2023-06-14,Bikaner,Dengue,43,26,0,Low,0.0,39
2023-05-19,Jaipur,Malaria,23,18,0,High,4.75,18
2023-09-22,Jaipur,Malaria,12,10,0,Low,-0.48,11
2023-05-28,Sikar,Malaria,47,35,0,Low,-0.34,40
2023-01-30,Ajmer,COVID-19,54,41,0,Low,-0.71,56
2023-04-24,Jodhpur,COVID-19,206,141,4,Low,-0.15,221
2023-03-25,Alwar,Dengue,84,55,1,Low,-0.18,61
2023-09-14,Pali,COVID-19,75,49,2,Low,-0.75,64
2023-11-18,Alwar,COVID-19,71,42,0,Low,-0.56,68
2023-01-10,Kota,Dengue,18,11,0,Low,-0.1,13
2023-05-01,Alwar,Malaria,43,34,0,High,4.38,31
2023-04-08,Sikar,Malaria,14,9,0,Low,-0.7,12
2023-02-25,Bharatpur,Dengue,104,87,2,High,4.47,97
2023-07-28,Kota,Dengue,119,93,1,High,5.61,91
2023-05-28,Bharatpur,Malaria,46,28,1,High,1.56,45
2023-03-28,Jodhpur,COVID-19,162,116,1,Low,-0.21,158
2023-05-22,Alwar,Malaria,65,46,1,High,0.51,62
2023-01-20,Kota,Malaria,72,63,1,High,3.5,58
2023-04-01,Ajmer,Malaria,12,7,0,Low,-0.81,9
2023-08-18,Jodhpur,COVID-19,241,154,3,High,0.49,218
2023-07-11,Bharatpur,COVID-19,284,210,8,Medium,0.19,296
2023-05-26,Jodhpur,Malaria,22,18,0,Low,-0.48,17
2023-08-04,Bikaner,COVID-19,263,214,2,High,0.75,217
2023-07-06,Udaipur,COVID-19,245,172,2,Medium,0.34,250
2023-08-13,Ajmer,Malaria,14,9,0,Medium,0.17,11
2023-03-21,Bharatpur,COVID-19,215,176,1,Low,-0.24,170
2023-11-28,Bharatpur,Malaria,54,35,1,Medium,0.17,54
2023-06-20,Bharatpur,Dengue,113,90,2,Low,0.09,86
2023-06-02,Pali,COVID-19,137,111,3,High,0.83,129
2023-02-17,Kota,COVID-19,281,238,3,Medium,0.21,228
2023-02-12,Kota,Malaria,23,15,0,Low,-0.68,22
2023-04-30,Sikar,Dengue,21,13,0,Low,-0.43,15
2023-12-24,Bikaner,Malaria,35,25,0,Low,-0.5,26
2023-09-24,Bikaner,COVID-19,89,58,2,Low,-0.66,68
2023-05-02,Kota,Dengue,43,26,0,Low,-0.64,38
2023-09-23,Udaipur,Malaria,71,53,0,Medium,0.22,76
2023-10-31,Kota,COVID-19,223,153,2,Low,-0.21,187
2023-09-01,Kota,Malaria,60,48,0,High,1.61,49
2023-09-08,Pali,COVID-19,218,145,5,High,0.59,217
2023-06-30,Alwar,COVID-19,111,96,1,High,0.56,96
2023-10-03,Sikar,COVID-19,52,40,0,Low,-0.76,51
2023-05-17,Alwar,Malaria,54,44,0,Low,-0.17,50
2023-12-25,Jodhpur,Dengue,57,51,1,High,1.85,41
2023-01-14,Udaipur,Dengue,70,57,0,High,2.18,57
2023-12-18,Jodhpur,COVID-19,137,115,1,Low,-0.43,128
2023-06-13,Kota,Malaria,52,46,0,Low,-0.13,46
2023-01-18,Bikaner,COVID-19,285,236,6,Medium,2.2,313
2023-04-27,Jaipur,COVID-19,237,209,6,High,0.48,215
2023-06-20,Jaipur,Malaria,52,35,1,High,3.33,38
2023-01-06,Udaipur,Dengue,47,38,1,Low,-0.33,49
2023-05-10,Pali,Dengue,81,49,1,Medium,0.16,79
2023-08-23,Alwar,Malaria,21,17,0,Low,-0.61,20
2023-05-14,Bharatpur,COVID-19,263,183,3,Medium,0.22,186
2023-12-03,Jaipur,Dengue,34,21,0,Low,-0.08,34
2023-10-20,Kota,Dengue,8,6,0,Low,-0.81,5
2023-12-03,Bharatpur,Dengue,45,39,0,Low,-0.6,36
2023-02-24,Jodhpur,Dengue,88,66,2,Medium,0.54,89
2023-02-11,Ajmer,COVID-19,210,178,4,High,2.89,203
2023-09-20,Jaipur,Dengue,108,65,2,High,2.18,81
2023-10-28,Bikaner,COVID-19,298,193,2,Low,0.05,319
2023-07-29,Sikar,Dengue,92,81,1,High,3.38,90
2023-07-25,Alwar,Dengue,54,33,1,Low,-0.36,46
2023-12-12,Ajmer,Dengue,38,31,0,Medium,2.45,39
2023-01-17,Ajmer,Dengue,39,29,0,Low,0.03,28
2023-01-19,Alwar,COVID-19,74,65,1,Low,-0.33,65
2023-08-24,Jodhpur,COVID-19,265,229,5,Medium,0.93,277
2023-02-16,Jodhpur,COVID-19,40,25,1,Low,-0.85,40
2023-09-02,Udaipur,COVID-19,236,165,5,Low,-0.04,219
2023-07-31,Jodhpur,Malaria,72,53,0,High,2.27,54
2023-10-17,Pali,Malaria,6,5,0,Low,-0.91,5
2023-03-08,Pali,Malaria,27,16,0,Medium,3.5,29
2023-02-16,Bharatpur,Dengue,69,46,1,High,0.53,63
2023-01-22,Alwar,Malaria,33,22,0,High,0.57,32
2023-12-08,Sikar,COVID-19,36,32,0,Low,-0.31,36
2023-02-21,Alwar,Malaria,76,48,0,Medium,1.3,79
2023-02-21,Udaipur,Malaria,12,10,0,Low,-0.83,12
2023-02-03,Jodhpur,Dengue,32,28,0,Low,-0.64,28
2023-01-26,Jodhpur,COVID-19,103,64,0,High,1.57,99
2023-04-28,Sikar,Malaria,19,14,0,Medium,0.36,19
2023-10-17,Alwar,Malaria,42,28,0,Low,-0.45,30
2023-08-21,Sikar,COVID-19,20,14,0,Low,-0.44,19
2023-10-07,Kota,Dengue,116,98,3,High,13.5,103
2023-11-08,Pali,Malaria,61,49,1,Medium,1.26,61
2023-08-05,Udaipur,Malaria,38,22,0,Medium,2.17,39
2023-07-01,Bikaner,COVID-19,261,159,4,Low,-0.12,241
2023-10-15,Pali,Dengue,22,13,0,Low,-0.73,16
2023-05-24,Udaipur,COVID-19,280,236,7,Medium,0.19,274
2023-03-18,Ajmer,COVID-19,251,201,6,Medium,0.2,179
2023-06-04,Jodhpur,Dengue,29,19,0,Low,-0.09,31
2023-01-30,Bharatpur,Dengue,55,42,1,Low,-0.2,50
2023-03-07,Ajmer,Malaria,48,36,1,Medium,2.43,49
2023-03-05,Alwar,Dengue,34,26,0,Low,-0.37,36
2023-06-07,Jodhpur,COVID-19,194,161,5,High,0.88,139
2023-11-25,Jodhpur,Malaria,39,25,0,Low,-0.46,41
2023-01-15,Ajmer,Dengue,69,59,0,High,0.77,61
2023-02-03,Kota,Malaria,43,32,0,Low,-0.17,41
2023-08-01,Pali,COVID-19,21,12,0,Low,-0.9,15
2023-10-14,Kota,COVID-19,241,204,3,Low,0.08,228
2023-05-16,Bharatpur,Dengue,6,4,0,Low,-0.89,6
2023-09-29,Udaipur,COVID-19,233,145,6,Low,-0.17,246
2023-01-31,Bikaner,Malaria,27,21,0,Low,-0.23,20
2023-08-17,Jaipur,Malaria,48,31,1,Low,-0.08,48
2023-03-21,Kota,Dengue,44,29,0,Low,-0.62,47
2023-10-23,Jaipur,Malaria,19,16,0,Low,-0.6,16
2023-03-03,Bikaner,Dengue,20,16,0,Low,-0.53,15
2023-06-28,Alwar,Dengue,56,47,0,High,0.65,51
2023-02-21,Jaipur,Dengue,21,14,0,Low,-0.81,18
2023-08-29,Kota,Malaria,69,46,0,High,0.6,51
2023-02-13,Jodhpur,Malaria,72,62,1,High,0.85,61
2023-07-04,Kota,COVID-19,45,37,0,Low,-0.81,47
2023-11-12,Udaipur,Malaria,13,10,0,Low,-0.66,11
2023-02-14,Udaipur,Malaria,69,55,0,High,4.31,64
2023-07-22,Jaipur,Dengue,23,15,0,Low,0.1,24
2023-10-14,Kota,COVID-19,286,233,3,High,5.36,228
2023-04-30,Bharatpur,Malaria,74,54,1,High,0.37,67
2023-12-02,Jaipur,Dengue,5,4,0,Low,-0.78,4
2023-01-26,Ajmer,Malaria,39,28,1,Low,-0.19,41
2023-05-08,Jodhpur,Malaria,56,47,1,Low,-0.22,52
2023-02-13,Jodhpur,Dengue,95,83,0,High,2.28,79
2023-09-19,Jodhpur,Dengue,106,91,2,Medium,0.12,94
2023-09-30,Kota,Malaria,68,42,0,Low,-0.01,58
2023-10-27,Sikar,Dengue,34,22,0,Low,-0.63,35
2023-11-16,Kota,COVID-19,181,130,3,Low,-0.37,158
2023-04-25,Udaipur,COVID-19,157,131,1,Low,-0.33,113
2023-09-22,Alwar,Malaria,46,28,1,Low,0.1,40
2023-02-13,Kota,Dengue,56,47,0,Medium,0.27,50
2023-04-23,Kota,Malaria,67,40,1,Low,-0.01,47
2023-08-20,Pali,Dengue,99,71,1,High,3.5,83
2023-09-02,Ajmer,COVID-19,277,230,4,Low,0.1,196
2023-03-17,Jaipur,Malaria,9,6,0,Low,-0.53,6
2023-01-21,Bikaner,Dengue,64,45,1,High,2.2,47
2023-01-11,Kota,Malaria,66,40,0,Low,-0.01,61
2023-12-10,Udaipur,Malaria,66,55,1,Low,-0.04,56
2023-06-07,Jodhpur,COVID-19,49,35,0,Low,-0.75,36
2023-05-18,Bikaner,Dengue,79,52,0,Medium,0.23,63
2023-01-20,Jaipur,Dengue,67,43,0,High,12.4,66
2023-02-04,Jaipur,Dengue,17,14,0,Low,-0.75,14
2023-03-14,Pali,Malaria,52,32,0,Low,-0.15,38
2023-10-23,Alwar,Dengue,92,69,2,High,0.64,82
2023-01-30,Sikar,Malaria,50,31,0,Medium,1.63,52
2023-07-24,Sikar,COVID-19,100,64,2,High,4.0,95
2023-06-19,Bharatpur,COVID-19,261,170,2,Low,-0.01,243
2023-11-17,Bharatpur,Malaria,33,20,0,Low,-0.55,26
2023-08-30,Kota,COVID-19,284,175,2,High,0.57,237
2023-01-18,Ajmer,COVID-19,243,206,4,Low,-0.12,253
2023-09-21,Bharatpur,Dengue,49,29,0,High,7.17,45
2023-03-08,Ajmer,COVID-19,115,81,1,Low,-0.53,111
2023-04-18,Kota,Dengue,43,36,0,Low,-0.23,40
2023-08-21,Udaipur,Dengue,79,64,1,Medium,0.68,79
2023-10-09,Kota,Dengue,88,71,0,Medium,1.05,90
2023-06-17,Udaipur,Dengue,41,28,0,Low,-0.48,29
2023-11-22,Udaipur,COVID-19,268,235,1,Medium,0.71,291
2023-07-20,Jodhpur,Malaria,28,23,0,Low,-0.5,24
2023-12-01,Bikaner,COVID-19,130,115,0,Low,-0.5,113
2023-06-24,Pali,Dengue,115,95,3,Medium,0.16,94
2023-01-15,Ajmer,Malaria,64,39,1,High,0.64,55
2023-04-25,Udaipur,Malaria,29,24,0,Low,-0.56,30
2023-07-29,Bharatpur,COVID-19,46,35,0,Low,-0.82,45
2023-08-21,Bikaner,Malaria,10,8,0,Low,-0.63,10
2023-08-16,Pali,Malaria,15,13,0,Low,-0.71,11
2023-07-31,Bikaner,Malaria,24,21,0,Medium,1.4,24
2023-11-26,Kota,Malaria,62,42,1,Low,-0.06,62
2023-04-09,Udaipur,Dengue,88,77,1,Medium,1.15,90
2023-04-17,Sikar,COVID-19,274,166,5,High,1.74,249
2023-09-09,Udaipur,Dengue,75,49,2,Low,-0.15,66
2023-06-21,Udaipur,Dengue,50,41,1,Low,-0.33,35
2023-03-07,Jodhpur,Dengue,88,75,1,Low,-0.17,66
2023-06-21,Sikar,COVID-19,153,135,3,Low,-0.44,135
2023-11-10,Kota,COVID-19,220,197,5,Low,-0.23,240
2023-08-07,Sikar,Malaria,71,45,0,Medium,0.42,75
2023-09-13,Jaipur,Dengue,112,98,3,Medium,5.59,117
2023-10-26,Alwar,Malaria,70,50,0,High,0.52,50
2023-02-16,Sikar,Malaria,9,5,0,Low,-0.87,7
2023-05-08,Udaipur,COVID-19,241,166,3,Low,-0.1,216
2023-09-12,Bikaner,Dengue,71,47,0,Low,-0.1,68
2023-09-25,Jodhpur,COVID-19,130,79,3,High,1.65,119
2023-01-04,Kota,COVID-19,142,90,0,Low,-0.35,128
2023-03-07,Jaipur,Dengue,68,59,0,Low,-0.39,58
2023-11-27,Alwar,Dengue,107,95,1,Medium,0.16,101
2023-05-27,Bikaner,Dengue,116,92,2,Medium,0.63,118
2023-04-16,Jodhpur,Dengue,33,20,0,Low,-0.62,33
2023-07-09,Udaipur,COVID-19,228,179,2,Low,-0.05,174
2023-08-16,Alwar,COVID-19,269,214,4,Medium,2.64,279
2023-10-06,Pali,Malaria,21,14,0,High,0.4,18
2023-03-05,Ajmer,COVID-19,51,33,0,Low,-0.56,37
2023-02-21,Pali,COVID-19,170,120,3,High,7.1,168
2023-06-25,Ajmer,Dengue,13,10,0,Low,-0.81,14
2023-06-02,Jaipur,Malaria,47,33,0,High,4.22,36
2023-02-01,Jodhpur,COVID-19,100,64,2,Low,-0.23,71
2023-08-25,Ajmer,COVID-19,36,22,0,Low,-0.29,35
2023-02-11,Jaipur,Malaria,58,37,0,Medium,0.23,53
2023-04-03,Alwar,COVID-19,286,217,2,Low,0.06,301
2023-10-13,Ajmer,Dengue,100,85,2,High,6.69,90
2023-08-10,Sikar,Dengue,47,36,1,Medium,0.38,49
2023-05-19,Bikaner,Malaria,71,44,1,High,1.96,67
2023-09-16,Jodhpur,COVID-19,286,206,2,Medium,1.86,288
2023-11-06,Bikaner,Malaria,30,22,0,Low,-0.58,26
2023-05-03,Pali,Dengue,63,42,0,Low,-0.45,45
2023-11-24,Sikar,COVID-19,293,193,2,High,0.92,290
2023-03-09,Alwar,Malaria,17,14,0,Low,-0.76,13
2023-01-29,Udaipur,Malaria,26,20,0,Low,-0.1,19
2023-04-10,Jaipur,COVID-19,26,16,0,Low,-0.89,22
2023-01-25,Bikaner,COVID-19,43,35,0,Low,-0.67,40
2023-07-04,Sikar,Malaria,4,2,0,Low,-0.56,3
2023-07-15,Bikaner,COVID-19,186,152,5,High,3.33,140
2023-11-12,Alwar,COVID-19,284,186,4,Low,-0.01,262
2023-05-01,Udaipur,Dengue,23,14,0,Low,-0.54,22
2023-04-20,Sikar,COVID-19,152,123,1,Low,-0.48,113
2023-12-10,Jodhpur,Malaria,25,18,0,Low,-0.11,18
2023-04-12,Bharatpur,COVID-19,64,50,1,High,0.39,61
2023-09-20,Bikaner,Malaria,25,21,0,Low,-0.17,26
2023-01-11,Pali,COVID-19,193,146,2,Medium,0.14,162
2023-08-25,Pali,Dengue,110,72,1,Medium,0.75,120
2023-12-09,Jodhpur,Malaria,36,32,0,High,0.44,26
2023-02-02,Udaipur,Dengue,88,68,1,High,2.83,64
2023-11-02,Pali,Dengue,47,35,1,Low,-0.57,47
2023-07-10,Pali,Dengue,59,43,1,Medium,0.26,62
2023-07-03,Kota,Dengue,79,70,1,Low,-0.1,76
2023-03-02,Pali,Dengue,91,67,1,Medium,0.54,93
2023-08-13,Jaipur,Dengue,86,71,1,Medium,0.26,83
2023-04-12,Bharatpur,Dengue,109,78,3,Medium,1.22,112
2023-01-10,Pali,Dengue,68,57,1,Low,-0.25,63
2023-05-09,Udaipur,Dengue,80,62,0,Low,-0.09,67
2023-11-06,Sikar,Malaria,58,46,1,Medium,13.5,63
2023-09-13,Sikar,Malaria,43,29,0,Low,-0.26,34
2023-04-24,Kota,COVID-19,280,183,5,High,0.97,216
2023-01-26,Udaipur,COVID-19,48,36,0,Low,-0.79,52
2023-06-02,Jodhpur,Malaria,77,55,0,Medium,1.14,84
2023-05-29,Ajmer,Dengue,42,27,0,Low,-0.58,29
2023-05-31,Sikar,Malaria,33,21,0,Low,-0.23,33
2023-10-28,Sikar,COVID-19,267,203,2,High,0.76,192
2023-12-25,Jodhpur,COVID-19,38,33,1,Low,-0.87,36
2023-02-18,Jaipur,Dengue,43,29,0,Low,-0.5,34
2023-02-18,Jodhpur,Malaria,42,26,0,Low,-0.45,38
2023-07-03,Bikaner,Dengue,53,35,0,Low,-0.54,44
2023-05-23,Jaipur,COVID-19,85,63,1,High,2.27,76
2023-02-14,Jaipur,Malaria,72,62,1,Medium,0.24,65
2023-08-17,Kota,Dengue,54,46,1,Low,-0.32,53
2023-06-09,Jodhpur,COVID-19,140,90,4,High,2.68,100
2023-10-05,Kota,COVID-19,273,230,7,Low,-0.03,218
2023-03-09,Bikaner,COVID-19,30,23,0,Low,-0.84,32
2023-09-12,Sikar,COVID-19,174,107,2,Low,-0.35,157
2023-06-14,Udaipur,COVID-19,67,46,1,High,0.4,56
2023-12-03,Bikaner,Dengue,39,27,0,Low,-0.26,30
2023-01-09,Bharatpur,Dengue,104,79,1,Low,-0.05,88
2023-01-01,Sikar,Malaria,12,7,0,Low,-0.64,12
2023-11-02,Alwar,Malaria,65,39,1,High,2.82,60
2023-12-04,Pali,COVID-19,213,180,4,Low,0.1,207
2023-04-22,Ajmer,COVID-19,180,139,2,Medium,4.0,188
2023-05-31,Bikaner,Dengue,69,44,0,High,0.77,54
2023-08-06,Sikar,COVID-19,100,63,2,Low,-0.43,70
2023-05-18,Sikar,COVID-19,197,162,2,Medium,0.97,207
2023-07-23,Ajmer,Malaria,11,9,0,Low,-0.83,9
2023-04-25,Alwar,Dengue,82,66,2,Low,-0.23,71
